Ring,Block,X,Y,quality
0,K,2325.61620991062,1760.7794547369017,1.0
0,B1,2349.595788093317,2285.3190489306467,1.0
0,A1,2351.222344485776,2974.2329334541287,1.0
0,A2,2354.360954170064,3413.779272993228,1.0
0,A3,2379.006265934921,102.08833899687868,1.0
0,A4,2353.408704593491,609.0022108528243,1.0
0,B2,2343.5501547559297,1311.4213730743515,1.0
1,K,1973.4493800168657,530.4751578221718,1.0
1,B1,1987.8403048425637,1074.2250500279656,1.0
1,A1,1983.6026777177956,1755.386369765133,1.0
1,A2,1984.4358598345984,2602.082535852362,1.0
1,A3,1986.971329202968,3140.554299019514,1.0
1,B2,2030.9690952681383,250.37302544708345,1.0
2,K,1610.5558829714846,3237.5025021605743,1.0
2,B1,1643.14004679479,3417.2738728944164,1.0
2,A1,1678.236657439001,105.5159086040876,1.0
2,A2,1632.9912057877184,607.9322490352592,1.0
2,A3,1625.2913508878607,1314.7988988279235,1.0
2,A4,1620.748131085037,1917.0307661328625,1.0
2,B2,1621.704335993072,2738.5929006423403,1.0
3,A1,1267.775362877927,403.9404474109795,1.0
3,A2,1260.406418361218,1068.47696034409,1.0
3,A3,1258.2354708574169,1758.9337183120408,1.0
3,A4,1258.2153124339757,2603.128934933457,1.0
3,B2,1263.0111704054405,3142.960511186596,1.0
4,K,881.0384284485225,2508.290273954183,1.0
4,B1,898.0651080444026,2979.439527266359,1.0
4,A1,901.5306950696493,3420.9896616433616,1.0
4,A2,900.6406426626037,109.62266401134762,1.0
4,A3,906.788323101263,587.7842336687025,1.0
4,A4,904.5308673293564,1307.6775968498978,1.0
4,B2,900.8458037251432,1905.9667987358823,1.0
5,K,527.2011330357025,1263.9424946207157,1.0
5,B1,540.212198875193,1756.632707965076,1.0
5,A1,531.0795417713745,2611.7906637315573,1.0
5,A2,530.7385732224672,3147.4655585473606,1.0
5,A4,533.665263359143,224.65923316685544,1.0
5,B2,542.8153796866327,802.7853857414495,1.0
6,K,165.88779032479556,1756.9473533640978,1.0
6,B1,174.2137619290339,2278.999513170553,1.0
6,A1,165.20185669058628,2982.951894358044,1.0
6,A2,163.5339956814136,3425.43883987604,1.0
6,A3,165.95691033595122,118.5453383814912,1.0
6,A4,180.08993086164318,564.1764066940378,1.0
6,B2,193.0347958536429,1283.0340162393566,1.0
