tunnel_id,stage,mIoU,det_k_count,det_k_count_match,det_assume_default_ratio,det_midpoint_ratio,det_real_detection_ratio,det_y_range,det_y_std,det_x_spacing_cv,sam_prompt_count,sam_segment_count,sam_segment_count_match,sam_mask_fill_rate,sam_template_coverage
1-4,combined,0.121,44.0,0.0,0.8181818181818182,0.0,0.18181818181818182,1659.7890595267913,398.24214799595757,0.5719496285040394,,,,,
1-4,combined,0.611,9.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,436.0389944984531,167.4603672587536,0.29538048717857035,9.0,7.0,1.0,0.8512133894261193,1.0
1-4,combined,0.627,9.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,445.7458785652682,198.94625571629194,0.37792444744309744,9.0,7.0,1.0,0.8364029878787014,1.0
1-4,combined,0.511,9.0,0.0,0.4444444444444444,0.3333333333333333,0.5555555555555556,490.16887096180903,220.98892282868275,0.37792444744309744,9.0,7.0,1.0,0.8391989265440869,1.0
1-4,combined,0.117,41.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6623338049861529,,,,,
2-2,sam,0.636,10.0,1.0,0.2,0.8,0.8,434.2862182479671,211.81515648939543,0.4849995303664471,10.0,7.0,1.0,0.796718731381549,1.0
2-2,sam,0.69,10.0,1.0,0.2,0.8,0.8,434.2862182479671,211.81515648939543,0.4849995303664471,10.0,7.0,1.0,0.7988889182440735,1.0
2-2,sam,0.661,10.0,1.0,0.2,0.8,0.8,434.2862182479671,211.81515648939543,0.4849995303664471,10.0,7.0,1.0,0.7837361613519105,1.0
2-2,sam,0.677,10.0,1.0,0.2,0.8,0.8,434.2862182479671,211.81515648939543,0.4849995303664471,10.0,7.0,1.0,0.7872354191749623,1.0
2-2,sam,0.617,10.0,1.0,0.2,0.8,0.8,434.2862182479671,211.81515648939543,0.4849995303664471,10.0,7.0,1.0,0.7871518467616229,1.0
4-1,sam_wraparound,0.428,11.0,0.0,0.8181818181818182,0.0,0.18181818181818182,1519.8569541294698,386.75182583517903,0.2646585527923431,,,,,
4-1,sam,0.13,11.0,0.0,0.8181818181818182,0.0,0.18181818181818182,1519.8569541294698,386.75182583517903,0.2646585527923431,11.0,6.0,1.0,0.8871522613536885,1.0
4-1,sam,0.111,11.0,0.0,0.8181818181818182,0.0,0.18181818181818182,1519.8569541294698,386.75182583517903,0.2646585527923431,11.0,8.0,1.0,0.8642524478769641,1.0
4-1,sam,0.106,11.0,0.0,0.8181818181818182,0.0,0.18181818181818182,1519.8569541294698,386.75182583517903,0.2646585527923431,11.0,8.0,1.0,0.8685089321638886,1.0
4-1,sam,0.114,11.0,0.0,0.8181818181818182,0.0,0.18181818181818182,1519.8569541294698,386.75182583517903,0.2646585527923431,11.0,8.0,1.0,0.8587868402751443,1.0
5-1,complex_sam,0.431,7.0,1.0,0.0,0.0,0.0,3107.7548390972297,903.7143576569363,0.3197251197032131,,,,,
5-1,complex_sam,0.331,7.0,1.0,0.0,0.0,0.0,3107.7548390972297,903.7143576569363,0.3197251197032131,,,,,
5-1,complex_sam,0.409,7.0,1.0,0.0,0.0,0.0,3107.7548390972297,903.7143576569363,0.3197251197032131,,,,,
5-1,complex_sam,0.333,7.0,1.0,0.0,0.0,0.0,3107.7548390972297,903.7143576569363,0.3197251197032131,,,,,
5-1,complex_sam,0.379,7.0,1.0,0.0,0.0,0.0,3107.7548390972297,903.7143576569363,0.3197251197032131,,,,,
