trial_id,kind,gt_miou,best_so_far,regret_vs_ceiling,k_y,r_surface_min,hough_oblique_threshold,hough_horizontal_threshold,line_merge_distance,line_snap_tolerance_px,segmentation_slot_inset_y,r_surface_min_ceiling_ref
0,sam4tun_static,0.21975775092716615,0.21975775092716615,0.6853422490728338,4095.7378443629786,2.0736,37.0,37.0,12.0,37.0,0.0,3.7136
1,intrinsic_r_otsu,0.1501603746954813,0.21975775092716615,0.6853422490728338,2945.4498386411906,2.9748,75.0,61.0,4.3334,25.8819,6.3717,3.7136
2,random,0.09842828733907825,0.21975775092716615,0.6853422490728338,2377.431396209876,3.6107,61.0,15.0,1.3925,43.6167,11.6552,3.7136
3,random,0.19402954015708113,0.21975775092716615,0.6853422490728338,2964.9141111616414,3.549,43.0,10.0,10.1305,16.5846,6.69,3.7136
4,random,0.3017260119468371,0.3017260119468371,0.6033739880531629,2402.13429610001,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
5,random,0.16389821046279285,0.3017260119468371,0.6033739880531629,3846.5851451954845,2.4339,48.0,36.0,5.4275,12.2528,24.1957,3.7136
6,random,0.14820464096306502,0.3017260119468371,0.6033739880531629,3165.3574462243746,2.3762,58.0,26.0,3.1171,74.5929,13.8082,3.7136
7,random,0.17869419220221716,0.3017260119468371,0.6033739880531629,4165.676085453766,2.6973,50.0,70.0,4.5438,61.3494,0.6299,3.7136
8,random,0.17438649211576168,0.3017260119468371,0.6033739880531629,143.010587137934,3.5973,59.0,85.0,4.9096,43.9324,19.1312,3.7136
9,random,0.19252491173556457,0.3017260119468371,0.6033739880531629,711.8054542979546,2.453,16.0,79.0,9.7233,43.4753,18.1462,3.7136
10,random,0.14694744427999823,0.3017260119468371,0.6033739880531629,935.4316493414744,3.5762,86.0,59.0,11.7843,43.6642,13.0292,3.7136
11,random,0.19192953450560832,0.3017260119468371,0.6033739880531629,3499.9200746292663,3.2754,54.0,115.0,3.761,65.4529,16.9118,3.7136
12,perturb_wrong_r_low,0.3017260119468371,0.3017260119468371,0.6033739880531629,2402.13429610001,2.1574,42.0,76.0,1.6518,34.0724,8.0759,3.7136
13,perturb_misaligned,0.24462372053459924,0.3017260119468371,0.6033739880531629,2473.5191136585327,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
14,perturb_weak_hough,0.3017260119468371,0.3017260119468371,0.6033739880531629,2402.13429610001,2.3253,88.0,105.0,1.6518,34.0724,8.0759,3.7136
15,perturb_offset_shift,0.1965164057746649,0.3017260119468371,0.6033739880531629,2402.13429610001,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
16,perturb_guardrail_smoke,0.2127417540522059,0.3017260119468371,0.6033739880531629,94.24,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
17,perturb_wrong_r_high,0.3230586240922682,0.3230586240922682,0.5820413759077319,2402.13429610001,3.6657,42.0,76.0,1.6518,34.0724,8.0759,3.7136
18,perturb_ambiguous_lines,0.3017260119468371,0.3230586240922682,0.5820413759077319,2402.13429610001,2.3253,42.0,76.0,11.3462,74.141,8.0759,3.7136
19,perturb_small_segment,0.251532750265952,0.3230586240922682,0.5820413759077319,2402.13429610001,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
20,perturb_wrong_k,0.16184484491194948,0.3230586240922682,0.5820413759077319,1564.694771438333,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
21,perturb_wrong_k,0.12534872528655644,0.3230586240922682,0.5820413759077319,3110.6766741434535,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
22,perturb_wrong_r_low,0.3017260119468371,0.3230586240922682,0.5820413759077319,2402.13429610001,2.1574,42.0,76.0,1.6518,34.0724,8.0759,3.7136
23,perturb_misaligned,0.24462372053459924,0.3230586240922682,0.5820413759077319,2473.5191136585327,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
24,bo,0.22293129497600644,0.3230586240922682,0.5820413759077319,2330.930503663423,3.0687,16.0,79.0,8.3119,31.0915,5.546,3.7136
25,bo,0.3628333234240663,0.3628333234240663,0.5422666765759336,2409.763361332139,3.6728,73.0,45.0,7.1536,22.8177,7.2216,3.7136
26,bo,0.16450645494188829,0.3628333234240663,0.5422666765759336,2199.1357013171037,3.5423,72.0,66.0,8.867,41.1847,21.3157,3.7136
27,bo,0.34744867095577736,0.3628333234240663,0.5422666765759336,2395.6015921232633,3.414,84.0,110.0,10.9427,46.5015,7.4915,3.7136
28,bo,0.08971995401495973,0.3628333234240663,0.5422666765759336,2329.2079286990647,3.4133,15.0,16.0,2.6983,70.7914,5.7576,3.7136
29,bo,0.3250862909889991,0.3628333234240663,0.5422666765759336,2295.6433043787156,2.1776,30.0,63.0,7.2717,41.834,24.5622,3.7136
30,bo,0.14867180521764678,0.3628333234240663,0.5422666765759336,2362.246196853858,2.7017,41.0,85.0,1.3504,33.0585,17.9397,3.7136
31,bo,0.2419682915030933,0.3628333234240663,0.5422666765759336,2381.683131878322,3.6851,84.0,55.0,1.3277,78.4529,3.3844,3.7136
