tunnel,model,baseline_miou,hint_v1_miou,hint_v2_miou,status
1-1,opus4.6,0.617,0.617,0.456,ok
1-2,opus4.6,0.608,0.608,0.61,ok
1-3,opus4.6,0.658,0.658,0.587,ok
1-4,opus4.6,0.436,0.436,0.361,ok
1-5,opus4.6,0.629,0.629,0.431,ok
2-1,opus4.6,0.674,0.674,0.673,ok
2-2,opus4.6,0.685,0.685,0.685,ok
2-3,opus4.6,0.606,0.606,0.605,ok
2-4,opus4.6,0.624,0.624,0.625,ok
2-5,opus4.6,0.669,0.669,0.663,ok
3-1-1,opus4.6,0.287,0.332,0.297,ok
3-1-2,opus4.6,0.237,0.222,,orchestrator_fail
3-1-3,opus4.6,0.229,,,orchestrator_fail
