ring_key,family,ring_id,parity,H,k_gt,k_gt_frac,k_low_px,k_high_px,k_active_px,active_frac,in_prior_frac_band,in_prior_px_band,gt_to_active_px,gt_to_nearest_anchor_px
1-1/r18,1,18,0,2863,1535.59,0.536357,1185.61,1628.93,1185.61,0.414116,True,True,349.98,93.34
1-1/r19,1,19,1,2875,1103.64,0.383874,1190.58,1635.76,1635.76,0.568959,False,False,532.12,86.94
1-2/r58,1,58,0,2819,1098.04,0.389513,1167.39,1603.9,1167.39,0.414116,False,False,69.36,69.36
1-2/r59,1,59,1,2855,1095.28,0.383635,1182.3,1624.38,1624.38,0.568959,False,False,529.1,87.02
1-3/r125,1,125,1,2827,1571.92,0.556038,1170.71,1608.45,1608.45,0.568959,True,True,36.53,36.53
1-3/r131,1,131,1,2725,1511.06,0.554517,1128.47,1550.41,1550.41,0.568959,True,True,39.36,39.36
1-4/r197,1,197,1,2705,1507.06,0.557138,1120.18,1539.03,1539.03,0.568959,True,True,31.98,31.98
1-4/r205,1,205,1,2728,1492.89,0.547245,1129.71,1552.12,1552.12,0.568959,True,True,59.24,59.24
1-5/r270,1,270,0,2752,1435.08,0.521467,1139.65,1565.78,1139.65,0.414116,True,True,295.43,130.7
1-5/r273,1,273,1,2860,2249.81,0.786648,1184.37,1627.22,1627.22,0.568959,False,False,622.59,622.59
2-1/r60,2,60,0,2840,1085.92,0.382365,1176.09,1615.84,1176.09,0.414116,False,False,90.17,90.17
2-1/r64,2,64,0,2865,1113.88,0.388789,1186.44,1630.07,1186.44,0.414116,False,False,72.56,72.56
2-2/r141,2,141,1,2862,1551.83,0.542218,1185.2,1628.36,1628.36,0.568959,True,True,76.53,76.53
2-2/r143,2,143,1,2861,1546.7,0.540615,1184.79,1627.79,1627.79,0.568959,True,True,81.09,81.09
2-3/r220,2,220,0,2867,1112.32,0.387972,1187.27,1631.21,1187.27,0.414116,False,False,74.95,74.95
2-3/r224,2,224,0,2797,1104.32,0.394822,1158.28,1591.38,1158.28,0.414116,False,False,53.96,53.96
2-4/r298,2,298,0,2866,1117.31,0.38985,1186.86,1630.64,1186.86,0.414116,False,False,69.55,69.55
2-4/r304,2,304,0,2775,1034.61,0.372834,1149.17,1578.86,1149.17,0.414116,False,False,114.56,114.56
2-5/r353,2,353,1,2866,1541.67,0.537915,1186.86,1630.64,1630.64,0.568959,True,True,88.97,88.97
2-5/r360,2,360,0,2877,1111.31,0.386273,1191.41,1636.9,1191.41,0.414116,False,False,80.1,80.1
3-1-1/r28,3,28,0,3067,1406.75,0.458673,1270.09,1745.0,1270.09,0.414116,True,True,136.66,136.66
3-1-1/r31,3,31,1,3075,1412.18,0.459246,1273.41,1749.55,1749.55,0.568959,True,True,337.37,138.77
3-1-1/r32,3,32,0,3084,1406.28,0.455993,1277.13,1754.67,1277.13,0.414116,True,True,129.15,129.15
3-1-1/r29,3,29,1,3070,1398.21,0.455443,1271.34,1746.71,1746.71,0.568959,True,True,348.49,126.88
3-1-2/r46,3,46,0,3108,1421.41,0.457338,1287.07,1768.33,1287.07,0.414116,True,True,134.33,134.33
3-1-2/r47,3,47,1,3105,1424.79,0.458871,1285.83,1766.62,1766.62,0.568959,True,True,341.83,138.96
3-1-2/r48,3,48,0,3106,1417.83,0.456481,1286.24,1767.19,1286.24,0.414116,True,True,131.59,131.59
3-1-3/r77,3,77,1,3103,1430.7,0.46107,1285.0,1765.48,1765.48,0.568959,True,True,334.78,145.7
3-1-3/r78,3,78,0,3100,1430.07,0.461313,1283.76,1763.77,1283.76,0.414116,True,True,146.31,146.31
3-1-3/r86,3,86,0,3104,1508.53,0.485995,1285.42,1766.05,1285.42,0.414116,True,True,223.11,223.11
