tunnel,condition,model,old_miou,new_miou,rules_miou
4-4,m_s,opus4.6,n/a,0.152,0.268
4-4,m_s,gpt5.4,n/a,0.075,0.268
4-4,m_s,gemini3flash,n/a,0.091,0.268
4-4,m_s_k,opus4.6,0.047,FAIL,0.268
4-4,m_s_k,gpt5.4,0.133,0.075,0.268
4-4,m_s_k,gemini3flash,0.072,0.108,0.268
5-3,m_s,opus4.6,n/a,0.227,0.231
5-3,m_s,gpt5.4,n/a,0.11,0.231
5-3,m_s,gemini3flash,n/a,0.104,0.231
5-3,m_s_k,opus4.6,0.089,0.178,0.231
5-3,m_s_k,gpt5.4,0.116,0.124,0.231
5-3,m_s_k,gemini3flash,0.08,0.143,0.231
5-4,m_s,opus4.6,n/a,0.195,0.142
5-4,m_s,gpt5.4,n/a,0.103,0.142
5-4,m_s,gemini3flash,n/a,0.096,0.142
5-4,m_s_k,opus4.6,0.068,0.207,0.142
5-4,m_s_k,gpt5.4,0.098,0.098,0.142
5-4,m_s_k,gemini3flash,0.122,0.118,0.142
