ring_key,section,split,selected_order,k_only_plus_miou,selected_proxy_miou,oracle_order,oracle_miou,lift_proxy_minus_k_only,degrade_lt_minus_0p01,missed_oracle_gain_gt_0p05
4-9/r363,4-9,within_section,plus,0.1076798156547528,0.1076798156547528,minus,0.3713013303790782,0.0,False,True
5-3/r192,5-3,cross_section,plus,0.0700873245473052,0.0700873245473052,minus,0.2038478577576486,0.0,False,True
5-5/r259,5-5,within_section,plus,0.1193049957182749,0.1193049957182749,minus,0.5878021182842843,0.0,False,True
5-6/r285,5-6,cross_section,plus,0.1585825225657581,0.1585825225657581,minus,0.3228595349588326,0.0,False,True
5-7/r316,5-7,within_section,plus,0.0821510681375819,0.0821510681375819,minus,0.2121321756544955,0.0,False,True
5-7/r322,5-7,within_section,plus,0.0690239043824701,0.0690239043824701,minus,0.1965557878833237,0.0,False,True
4-7/r308,4-7,within_section,minus,0.8111550169384385,0.1733618380774769,plus,0.8111550169384385,-0.6377931788609617,True,True
4-4/r212,4-4,cross_section,minus,0.6316932803541733,0.1147389506227811,plus,0.6316932803541733,-0.5169543297313922,True,True
4-3/r177,4-3,cross_section,minus,0.5648619539913342,0.1261866405400686,plus,0.5648619539913342,-0.43867531345126565,True,True
4-1/r110,4-1,within_section,minus,0.4607649240645529,0.0970180332018882,plus,0.4607649240645529,-0.36374689086266465,True,True
4-7/r305,4-7,within_section,minus,0.392141494981395,0.071365758879943,plus,0.392141494981395,-0.320775736101452,True,True
4-1/r115,4-1,within_section,minus,0.2795543719364586,0.0902197002201574,plus,0.2795543719364586,-0.1893346717163012,True,True
4-10/r395,4-10,cross_section,minus,0.1814245306138434,0.1082897259259836,plus,0.1814245306138434,-0.0731348046878598,True,True
5-2/r144,5-2,cross_section,minus,0.114689599589088,0.090174427685305,plus,0.114689599589088,-0.02451517190378301,True,False
