ring_key,section,split,pattern_type,bottom_baseline_miou,k_only_plus_miou,proxy_plus_miou,proxy_minus_miou,proxy_margin_minus_plus,selected_order,selected_proxy_miou,oracle_order,oracle_miou,lift_k_only_minus_bottom,lift_proxy_minus_k_only,lift_proxy_minus_bottom,degrade_lt_minus_0p01,missed_oracle_gain_gt_0p05
4-1/r110,4-1,within_section,reversed_canonical,0.0758522727272727,0.4607649240645529,0.2307853093846588,0.3401027275288221,0.1093174181441632,minus,0.0970180332018882,plus,0.4607649240645529,0.3849126513372802,-0.36374689086266465,0.021165760474615505,True,True
4-1/r115,4-1,within_section,reversed_canonical,0.1806027551531053,0.2795543719364586,0.2561985900048612,0.4014730746930476,0.1452744846881863,minus,0.0902197002201574,plus,0.2795543719364586,0.09895161678335329,-0.1893346717163012,-0.0903830549329479,True,True
4-1/r119,4-1,within_section,reversed_canonical,0.0930285103654867,0.0808623881518049,0.1815337055103235,0.2008327488890751,0.0192990433787516,minus,0.2563168414817519,minus,0.2563168414817519,-0.01216612221368181,0.17545445332994697,0.16328833111626517,False,False
4-10/r395,4-10,cross_section,reversed_canonical,0.171702446568382,0.1814245306138434,0.1801353002638446,0.1886086443993946,0.0084733441355499,minus,0.1082897259259836,plus,0.1814245306138434,0.009722084045461404,-0.0731348046878598,-0.06341272064239839,True,True
4-10/r398,4-10,cross_section,reversed_canonical,0.1964664112151231,0.1780366154253964,0.2527750791180693,0.2618430508663383,0.0090679717482689,minus,0.8298427056663018,minus,0.8298427056663018,-0.0184297957897267,0.6518060902409054,0.6333762944511787,False,False
4-2/r142,4-2,cross_section,reversed_canonical,0.1903703365096661,0.1291446488721642,0.3135947831439339,0.3445917828987923,0.0309969997548583,minus,0.6095451047959562,minus,0.6095451047959562,-0.061225687637501885,0.48040045592379205,0.4191747682862902,False,False
4-2/r144,4-2,cross_section,reversed_canonical,0.1342972097316416,0.1296413058325385,0.2258177012634855,0.2834577704775196,0.057640069214034,minus,0.5787115593500822,minus,0.5787115593500822,-0.004655903899103114,0.4490702535175437,0.4444143496184406,False,False
4-3/r170,4-3,cross_section,reversed_canonical,0.0752614321162708,0.811842926879489,0.3631422707746133,0.191419905806736,-0.1717223649678773,plus,0.811842926879489,plus,0.811842926879489,0.7365814947632182,0.0,0.7365814947632182,False,False
4-3/r177,4-3,cross_section,reversed_canonical,0.169008741995432,0.5648619539913342,0.3609665463866089,0.412302537659882,0.051335991273273,minus,0.1261866405400686,plus,0.5648619539913342,0.3958532119959022,-0.43867531345126565,-0.042822101455363415,True,True
4-4/r212,4-4,cross_section,canonical,0.0751446131597975,0.6316932803541733,0.2598939539645264,0.3648166425986054,0.1049226886340789,minus,0.1147389506227811,plus,0.6316932803541733,0.5565486671943758,-0.5169543297313922,0.0395943374629836,True,True
4-4/r215,4-4,cross_section,canonical,0.0795275997657941,0.0795275997657941,0.1686392198351335,0.1951607760389007,0.0265215562037672,minus,0.0795420815123571,minus,0.0795420815123571,0.0,1.4481746563002607e-05,1.4481746563002607e-05,False,False
4-5/r245,4-5,cross_section,canonical,0.1574250935909021,0.2829738823719338,0.276039054169912,0.2295100500188907,-0.0465290041510212,plus,0.2829738823719338,plus,0.2829738823719338,0.12554878878103173,0.0,0.12554878878103173,False,False
4-5/r249,4-5,cross_section,canonical,0.1588458446048686,0.0999903573582119,0.2694090306934265,0.2732077857109817,0.0037987550175552,minus,0.4114878506191582,minus,0.4114878506191582,-0.05885548724665671,0.31149749326094633,0.2526420060142896,False,False
4-6/r276,4-6,cross_section,canonical,0.1223902780343847,0.1005902918862151,0.1557747220580567,0.1605770981993809,0.0048023761413242,minus,0.2611060836437732,minus,0.2611060836437732,-0.021799986148169595,0.1605157917575581,0.1387158056093885,False,False
4-6/r283,4-6,cross_section,canonical,0.074341208541572,0.3695827406605738,0.3979278232328836,0.3069783479240522,-0.0909494753088313,plus,0.3695827406605738,plus,0.3695827406605738,0.2952415321190018,0.0,0.2952415321190018,False,False
4-7/r303,4-7,within_section,canonical,0.0814775271332935,0.5567274344579161,0.4052679372995714,0.2882231052958749,-0.1170448320036964,plus,0.5567274344579161,plus,0.5567274344579161,0.4752499073246226,0.0,0.4752499073246226,False,False
4-7/r305,4-7,within_section,canonical,0.0891423391958661,0.392141494981395,0.1472761422328574,0.1690314777410169,0.0217553355081595,minus,0.071365758879943,plus,0.392141494981395,0.3029991557855289,-0.320775736101452,-0.017776580315923107,True,True
4-7/r308,4-7,within_section,canonical,0.0806561334929568,0.8111550169384385,0.3065798445838499,0.3682940258570753,0.0617141812732253,minus,0.1733618380774769,plus,0.8111550169384385,0.7304988834454818,-0.6377931788609617,0.0927057045845201,True,True
4-8/r332,4-8,within_section,reversed_canonical,0.0965057941664676,0.598982559952365,0.3520621193043851,0.2203410144377294,-0.1317211048666556,plus,0.598982559952365,plus,0.598982559952365,0.5024767657858975,0.0,0.5024767657858975,False,False
4-8/r334,4-8,within_section,reversed_canonical,0.1821144154235726,0.1334283523531297,0.210505063747076,0.2868527872961522,0.0763477235490762,minus,0.5984892915381694,minus,0.5984892915381694,-0.0486860630704429,0.46506093918503977,0.41637487611459684,False,False
4-8/r335,4-8,within_section,reversed_canonical,0.1550911830653923,0.1783414592260887,0.2118403471260343,0.1706353561096082,-0.041204991016426,plus,0.1783414592260887,plus,0.1783414592260887,0.023250276160696415,0.0,0.023250276160696415,False,False
4-9/r360,4-9,within_section,canonical,0.1417034444800959,0.2118338487609162,0.1590969333510201,0.1575969257897628,-0.0015000075612572,plus,0.2118338487609162,plus,0.2118338487609162,0.07013040428082032,0.0,0.07013040428082032,False,False
4-9/r363,4-9,within_section,canonical,0.1877228767856381,0.1076798156547528,0.2002301273428721,0.1955859150703672,-0.0046442122725048,plus,0.1076798156547528,minus,0.3713013303790782,-0.08004306113088529,0.0,-0.08004306113088529,False,True
