ring_key,section,split,pattern_type_readout,plus_miou,minus_miou,oracle_miou,minus_better,plus_minus_gap,det_k_confidence,det_pos_count,det_neg_count,det_line_diff_pos_minus_neg,det_abs_line_diff,det_horizontal_count,det_selected_pos_count,det_selected_neg_count,det_k_y_rel,det_type_pair,det_type_single,det_type_default,pre_valid_ratio,pre_empty_row_band_ratio,det_y_coverage_pct,det_min_y_gap_px,det_k_x_spacing_cv,seg_mask_coverage_pct,seg_ring_completeness_avg,seg_k_size_ratio,seg_block_size_variance_ratio,health_score_diff_plus_minus,k_width_rank_norm,k_width_ratio,width_cv,z_score_plus,z_score_minus,z_score_diff_plus_minus,k_z_rel,k_intensity_rel,k_r_rel
4-2/r144,4-2,cross_section,reversed_canonical,0.12964130583253852,0.5787115593500822,0.5787115593500822,1,-0.4490702535175437,0.9,5.0,1.0,4.0,4.0,2.0,1.0,1.0,0.22774928300515845,1,0,0,0.012352574985851726,0.07427843803056026,100.0,248.0,1.0,50.29772200815288,1.0,3.883372055061981,7.101697682011101,0.0,0.0,0.3333333333333333,0.25784109892073936,0.9049648128174138,0.18833499408807408,0.7166298187293397,0.36713150467441497,0.11791404287225417,1.2206716805513542
4-2/r142,4-2,cross_section,reversed_canonical,0.1291446488721642,0.6095451047959562,0.6095451047959562,1,-0.48040045592379205,0.9,2.0,3.0,-1.0,1.0,14.0,1.0,1.0,0.7557404301092361,1,0,0,0.0025782598324657286,0.07449066213921901,100.0,248.0,1.0,7.280757979261213,1.0,6.99400754107191,3.0014440433212997,0.0,0.0,0.3333333333333333,0.2578410989207394,0.7418310378685439,0.472726871758459,0.26910416611008486,0.7484721760904972,0.7637018731173856,1.1688671174781415
4-3/r170,4-3,cross_section,reversed_canonical,0.811842926879489,0.15951311473049956,0.811842926879489,0,0.6523298121489894,0.65,0.0,3.0,-3.0,3.0,4.0,0.0,1.0,0.2974320882852292,0,1,0,0.0009755553854260019,0.07724957555178268,100.0,248.0,1.414213562373095,2.6164089049171233,1.0,4.294120765519801,5.904938271604938,0.0,0.0,0.3333333333333333,0.2578410989207394,0.9939101725893807,-0.12966933123156252,1.1235795038209433,0.15046518483509386,-0.8464155359268926,-1.2919422623849288
4-3/r177,4-3,cross_section,reversed_canonical,0.5648619539913342,0.1261866405400686,0.5648619539913342,0,0.43867531345126565,0.9,7.0,1.0,6.0,6.0,9.0,1.0,1.0,0.07078525612937463,1,0,0,0.0042286608385962,0.07406621392190153,100.0,248.0,1.0,14.908362941605386,1.0,7.398584263544786,3.12393218556972,0.0,0.0,0.3333333333333333,0.2578410989207394,0.3835484130130907,0.9436662302405915,-0.5601178172275008,0.872939727582083,0.8932706265558961,0.5283288519848895
4-4/r212,4-4,cross_section,canonical,0.6316932803541733,0.11473895062278117,0.6316932803541733,0,0.5169543297313921,0.9,3.0,2.0,1.0,1.0,9.0,1.0,1.0,0.7545186942307557,1,0,0,0.002369835880022637,0.0734295415959253,100.0,248.0,1.0,5.671351123743355,1.0,7.517401392111369,2.965303593556382,0.0,0.0,0.3333333333333333,0.2578410989207394,0.7373917858032878,0.4743888386450513,0.26300294715823647,0.7541802640995929,0.9845896047465771,0.5402873135064115
4-4/r215,4-4,cross_section,canonical,0.07952759976579413,0.07954208151235713,0.07954208151235713,1,-1.4481746563002607e-05,0.65,1.0,2.0,-1.0,1.0,4.0,1.0,0.0,0.15906196943972836,0,1,0,0.009866330174713759,0.2213497453310696,100.0,248.0,1.4142135623730951,36.818177562405786,1.0,3.96120172921132,105020.0,0.0,0.0,0.3333333333333333,0.2578410989207394,0.8975807452565554,0.20080076763295332,0.6967799776236021,0.28115652717763245,-0.3758709319138014,-0.008237633604049648
4-5/r245,4-5,cross_section,canonical,0.2829738823719338,0.10397682067979903,0.2829738823719338,0,0.1789970616921348,0.2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.5,0,0,1,0.016748842942530873,0.07088285229202038,100.0,248.0,0.0,54.187975555958076,1.0,17.989834430178085,1.5505516959542296,0.0,0.0,0.3333333333333333,0.2578410989207394,0.31874657256485284,0.8370947622786158,-0.518348189713763,0.0,-1.2525093384653128,-1.0388906548134005
4-5/r249,4-5,cross_section,canonical,0.09999035735821193,0.41148785061915827,0.41148785061915827,1,-0.31149749326094633,0.65,0.0,5.0,-5.0,5.0,4.0,0.0,1.0,0.7234719864176571,0,1,0,0.0013788862113660843,0.0749151103565365,100.0,248.0,1.4142135623730951,3.880345036798649,1.0,5.723349842996342,4.485859728506787,0.0,0.0,0.3333333333333333,0.2578410989207394,0.6106644211666044,0.6219421078206486,-0.011277686654044272,0.6651638240511033,1.283156961418656,1.5794213804981625
4-6/r276,4-6,cross_section,canonical,0.10059029188621516,0.26110608364377325,0.26110608364377325,1,-0.1605157917575581,0.65,0.0,1.0,-1.0,1.0,4.0,0.0,1.0,0.19376344086021505,0,1,0,0.01273690343768208,0.11032258064516129,100.0,244.70000000000005,1.4142135623730951,44.90839296666005,1.0,3.2942545743788,10.241455836662228,0.0,0.0,0.3332803668308629,0.25786378573219193,0.8693787946500743,0.2546591738192153,0.614719620830859,0.313034944343083,-1.2680413684429783,-0.34065557542602143
4-6/r283,4-6,cross_section,canonical,0.36958274066057384,0.10433454498965287,0.36958274066057384,0,0.26524819567092095,0.65,3.0,3.0,0.0,0.0,4.0,1.0,0.0,0.8835483870967742,0,1,0,0.0003685814501753781,0.08021505376344086,100.0,244.69999999999982,1.414213562373095,1.3934807314805249,1.0,8.480074142724744,5.446540880503145,0.0,0.0,0.33328036683086254,0.2578637857321921,0.9858720294860268,0.7469006546285034,0.2389713748575234,1.0,-0.04430217010374392,0.13763576938055627
4-10/r395,4-10,cross_section,reversed_canonical,0.18142453061384348,0.10828972592598365,0.18142453061384348,0,0.07313480468785982,0.9,4.0,3.0,1.0,1.0,4.0,1.0,1.0,0.4105355582092434,1,0,0,0.014365433463629064,0.0734295415959253,100.0,248.0,1.0,54.41609873502888,1.0,4.920407973285531,5.852381876394683,0.0,0.0,0.3333333333333333,0.2578410989207394,0.7335482195913503,0.48634241536173994,0.24720580422961036,0.0,-1.8960854307543449,-0.298207776831695
4-10/r398,4-10,cross_section,reversed_canonical,0.17803661542539645,0.8298427056663018,0.8298427056663018,1,-0.6518060902409053,0.65,5.0,0.0,5.0,5.0,11.0,1.0,0.0,0.7296264855687606,0,1,0,0.0030473788900167048,0.07555178268251274,100.0,248.0,1.4142135623730951,8.117213123999715,1.0,5.491994379853938,4.07928029238122,0.0,0.0,0.3333333333333333,0.2578410989207394,0.6147161432360907,0.6179464484835099,-0.003230305247419185,0.6622405261523848,-0.7696108947179883,1.2305819172758063
5-1/r117,5-1,cross_section,canonical,0.11960466474339868,0.41176016665531323,0.41176016665531323,1,-0.29215550191191453,0.55,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.41483870967741937,0,0,0,0.00838540787029218,0.05419354838709677,100.0,244.69999999999982,0.0,32.10336742455196,1.0,7.752442677840652,2.686051651196565,0.0,0.0,0.3332803668308626,0.25786378573219204,0.6970691907469535,0.5321859845328655,0.16488320621408803,0.0,-1.2415572349072095,-0.48593778682130906
5-1/r118,5-1,cross_section,canonical,0.1729739249205795,0.8200313624297346,0.8200313624297346,1,-0.6470574375091551,0.65,4.0,0.0,4.0,4.0,11.0,1.0,0.0,0.7838709677419354,0,1,0,0.004002389486260454,0.054838709677419356,100.0,244.69999999999982,1.4142135623730951,10.935167783238041,1.0,6.906481345017969,3.1920551543007223,0.0,0.0,0.33328036683086254,0.2578637857321921,0.8881126128416186,0.24254531062563545,0.6455673022159831,0.8217144597874579,0.9617971981881414,-0.9262620486879498
