ring_key,family,depth_map_path,depth_map_png,selected_interpolation_window,height_px,width_px,finite_ratio,row_nonempty_ratio,largest_empty_vertical_gap_px,largest_empty_vertical_gap_frac,depth_gate_pass,depth_gate_reason
1-1/r18,1,logs/v5_t123_depth_contract_v1/1-1/r18/depth_map.npy,logs/v5_t123_depth_contract_v1/1-1/r18/depth_map.png,,2863,244,0.870242437429499,0.9535452322738386,41,0.0143206426825008,True,pass
1-1/r19,1,logs/v5_t123_depth_contract_v1/1-1/r19/depth_map.npy,logs/v5_t123_depth_contract_v1/1-1/r19/depth_map.png,,2875,245,0.8951055900621118,0.9530434782608695,42,0.0146086956521739,True,pass
1-2/r58,1,logs/v5_t123_depth_contract_v1/1-2/r58/depth_map.npy,logs/v5_t123_depth_contract_v1/1-2/r58/depth_map.png,,2819,250,0.8673728272437035,0.9428875487761618,43,0.0152536360411493,True,pass
1-2/r59,1,logs/v5_t123_depth_contract_v1/1-2/r59/depth_map.npy,logs/v5_t123_depth_contract_v1/1-2/r59/depth_map.png,,2855,246,0.9033061381401906,0.9593695271453592,41,0.0143607705779334,True,pass
1-3/r125,1,logs/v5_t123_depth_contract_v1/1-3/r125/depth_map.npy,logs/v5_t123_depth_contract_v1/1-3/r125/depth_map.png,,2827,249,0.8587146605523616,0.9561372479660416,45,0.0159179342058719,True,pass
1-3/r131,1,logs/v5_t123_depth_contract_v1/1-3/r131/depth_map.npy,logs/v5_t123_depth_contract_v1/1-3/r131/depth_map.png,,2725,259,0.8767680918139634,0.9537614678899082,42,0.0154128440366972,True,pass
1-4/r197,1,logs/v5_t123_depth_contract_v1/1-4/r197/depth_map.npy,logs/v5_t123_depth_contract_v1/1-4/r197/depth_map.png,,2705,243,0.8624282117401855,0.9353049907578558,51,0.0188539741219963,True,pass
1-4/r204,1,logs/v5_t123_depth_contract_v1/1-4/r204/depth_map.npy,logs/v5_t123_depth_contract_v1/1-4/r204/depth_map.png,,2716,246,0.8524237580372859,0.9366715758468336,50,0.0184094256259204,True,pass
1-5/r270,1,logs/v5_t123_depth_contract_v1/1-5/r270/depth_map.npy,logs/v5_t123_depth_contract_v1/1-5/r270/depth_map.png,,2752,259,0.8879747687887223,0.9662063953488372,39,0.0141715116279069,True,pass
1-5/r273,1,logs/v5_t123_depth_contract_v1/1-5/r273/depth_map.npy,logs/v5_t123_depth_contract_v1/1-5/r273/depth_map.png,,2860,245,0.8775110603682033,0.943006993006993,53,0.0185314685314685,True,pass
2-1/r60,2,logs/v5_t123_depth_contract_v1/2-1/r60/depth_map.npy,logs/v5_t123_depth_contract_v1/2-1/r60/depth_map.png,,2840,272,0.8237818454846727,0.95,56,0.0197183098591549,True,pass
2-1/r64,2,logs/v5_t123_depth_contract_v1/2-1/r64/depth_map.npy,logs/v5_t123_depth_contract_v1/2-1/r64/depth_map.png,,2865,243,0.8612586990713809,0.9329842931937172,52,0.0181500872600349,True,pass
2-2/r141,2,logs/v5_t123_depth_contract_v1/2-2/r141/depth_map.npy,logs/v5_t123_depth_contract_v1/2-2/r141/depth_map.png,,2862,254,0.8825899514133061,0.9465408805031448,43,0.0150244584206848,True,pass
2-2/r143,2,logs/v5_t123_depth_contract_v1/2-2/r143/depth_map.npy,logs/v5_t123_depth_contract_v1/2-2/r143/depth_map.png,,2861,240,0.8674705813818012,0.9342887102411744,52,0.0181754631247815,True,pass
2-3/r220,2,logs/v5_t123_depth_contract_v1/2-3/r220/depth_map.npy,logs/v5_t123_depth_contract_v1/2-3/r220/depth_map.png,,2867,274,0.8070390728628567,0.9595395884199512,39,0.0136030694105336,True,pass
2-3/r224,2,logs/v5_t123_depth_contract_v1/2-3/r224/depth_map.npy,logs/v5_t123_depth_contract_v1/2-3/r224/depth_map.png,,2797,248,0.8509664732951203,0.938863067572399,49,0.017518770110833,True,pass
2-4/r298,2,logs/v5_t123_depth_contract_v1/2-4/r298/depth_map.npy,logs/v5_t123_depth_contract_v1/2-4/r298/depth_map.png,,2866,242,0.886153131902672,0.9424284717376132,48,0.0167480809490579,True,pass
2-4/r304,2,logs/v5_t123_depth_contract_v1/2-4/r304/depth_map.npy,logs/v5_t123_depth_contract_v1/2-4/r304/depth_map.png,,2775,243,0.8645326808289772,0.9362162162162162,49,0.0176576576576576,True,pass
2-5/r353,2,logs/v5_t123_depth_contract_v1/2-5/r353/depth_map.npy,logs/v5_t123_depth_contract_v1/2-5/r353/depth_map.png,,2866,245,0.8185154592192774,0.9225401256106072,54,0.0188415910676901,True,pass
2-5/r360,2,logs/v5_t123_depth_contract_v1/2-5/r360/depth_map.npy,logs/v5_t123_depth_contract_v1/2-5/r360/depth_map.png,,2877,270,0.8323703961173547,0.9558567952728536,38,0.0132082029892248,True,pass
3-1-1/r28,3,logs/v5_t123_depth_contract_v1/3-1-1/r28/depth_map.npy,logs/v5_t123_depth_contract_v1/3-1-1/r28/depth_map.png,,3067,248,0.883309054766137,0.97098141506358,44,0.0143462667101402,True,pass
3-1-1/r31,3,logs/v5_t123_depth_contract_v1/3-1-1/r31/depth_map.npy,logs/v5_t123_depth_contract_v1/3-1-1/r31/depth_map.png,,3075,249,0.8930146602670846,0.9782113821138212,38,0.0123577235772357,True,pass
3-1-1/r32,3,logs/v5_t123_depth_contract_v1/3-1-1/r32/depth_map.npy,logs/v5_t123_depth_contract_v1/3-1-1/r32/depth_map.png,,3084,245,0.8916739458429286,0.9769779507133592,36,0.0116731517509727,True,pass
3-1-1/r36,3,logs/v5_t123_depth_contract_v1/3-1-1/r36/depth_map.npy,logs/v5_t123_depth_contract_v1/3-1-1/r36/depth_map.png,51.0,2693,281,0.6443117982168083,0.9702933531377644,62,0.0230226513182324,True,pass
3-1-2/r46,3,logs/v5_t123_depth_contract_v1/3-1-2/r46/depth_map.npy,logs/v5_t123_depth_contract_v1/3-1-2/r46/depth_map.png,,3108,244,0.7920978648437664,0.9382239382239382,54,0.0173745173745173,True,pass
3-1-2/r47,3,logs/v5_t123_depth_contract_v1/3-1-2/r47/depth_map.npy,logs/v5_t123_depth_contract_v1/3-1-2/r47/depth_map.png,,3105,241,0.8095803181857665,0.9252818035426732,107,0.0344605475040257,True,pass
3-1-2/r48,3,logs/v5_t123_depth_contract_v1/3-1-2/r48/depth_map.npy,logs/v5_t123_depth_contract_v1/3-1-2/r48/depth_map.png,,3106,244,0.8218031203487697,0.93915003219575,78,0.0251126851255634,True,pass
3-1-3/r77,3,logs/v5_t123_depth_contract_v1/3-1-3/r77/depth_map.npy,logs/v5_t123_depth_contract_v1/3-1-3/r77/depth_map.png,,3103,244,0.8479393289413206,0.970029004189494,51,0.0164357073799548,True,pass
3-1-3/r78,3,logs/v5_t123_depth_contract_v1/3-1-3/r78/depth_map.npy,logs/v5_t123_depth_contract_v1/3-1-3/r78/depth_map.png,,3100,243,0.8649807513606796,0.9641935483870968,52,0.016774193548387,True,pass
3-1-3/r86,3,logs/v5_t123_depth_contract_v1/3-1-3/r86/depth_map.npy,logs/v5_t123_depth_contract_v1/3-1-3/r86/depth_map.png,,3104,243,0.8639244198379364,0.9635953608247424,45,0.0144974226804123,True,pass
4-1/r110,4,logs/v5_t45_depth_contract_v1/4-1/r110/depth_map.npy,logs/v5_t45_depth_contract_v1/4-1/r110/depth_map.png,9.0,4378,372,0.7125602351935632,0.9264504339881224,91,0.020785746916400182,True,pass
4-10/r398,4,logs/v5_t45_depth_contract_v1/4-10/r398/depth_map.npy,logs/v5_t45_depth_contract_v1/4-10/r398/depth_map.png,9.0,4366,373,0.8371286040436765,0.9622079706825469,87,0.019926706367384334,True,pass
4-2/r142,4,logs/v5_t45_depth_contract_v1/4-2/r142/depth_map.npy,logs/v5_t45_depth_contract_v1/4-2/r142/depth_map.png,9.0,4360,363,0.8474663229458893,0.9488532110091743,79,0.018119266055045873,True,pass
4-3/r177,4,logs/v5_t45_depth_contract_v1/4-3/r177/depth_map.npy,logs/v5_t45_depth_contract_v1/4-3/r177/depth_map.png,9.0,4363,389,0.7495114031464636,0.9069447627779051,143,0.032775613110245246,True,pass
4-4/r212,4,logs/v5_t45_depth_contract_v1/4-4/r212/depth_map.npy,logs/v5_t45_depth_contract_v1/4-4/r212/depth_map.png,9.0,4365,366,0.8320607915672983,0.9301260022909508,99,0.02268041237113402,True,pass
4-5/r249,4,logs/v5_t45_depth_contract_v1/4-5/r249/depth_map.npy,logs/v5_t45_depth_contract_v1/4-5/r249/depth_map.png,9.0,4366,372,0.7954575680108759,0.9280806229958772,101,0.023133302794319743,True,pass
4-6/r276,4,logs/v5_t45_depth_contract_v1/4-6/r276/depth_map.npy,logs/v5_t45_depth_contract_v1/4-6/r276/depth_map.png,51.0,3944,409,0.7565340190540426,0.8747464503042597,237,0.06009127789046653,False,row_nonempty_ratio_low
4-7/r308,4,logs/v5_t45_depth_contract_v1/4-7/r308/depth_map.npy,logs/v5_t45_depth_contract_v1/4-7/r308/depth_map.png,9.0,4364,376,0.812392129999805,0.9278185151237397,95,0.021769019248395968,True,pass
4-8/r332,4,logs/v5_t45_depth_contract_v1/4-8/r332/depth_map.npy,logs/v5_t45_depth_contract_v1/4-8/r332/depth_map.png,9.0,4367,366,0.8256596605690217,0.9276391115182047,94,0.021525074421799864,True,pass
4-9/r363,4,logs/v5_t45_depth_contract_v1/4-9/r363/depth_map.npy,logs/v5_t45_depth_contract_v1/4-9/r363/depth_map.png,9.0,4377,374,0.851536165590917,0.9330591729495088,99,0.022618231665524333,True,pass
5-1/r118,5,logs/v5_t45_depth_contract_v1/5-1/r118/depth_map.npy,logs/v5_t45_depth_contract_v1/5-1/r118/depth_map.png,9.0,4454,378,0.8444089255719252,0.9425235743152223,93,0.02088010776829816,True,pass
5-2/r140,5,logs/v5_t45_depth_contract_v1/5-2/r140/depth_map.npy,logs/v5_t45_depth_contract_v1/5-2/r140/depth_map.png,9.0,4450,364,0.7827917026793432,0.9166292134831461,100,0.02247191011235955,True,pass
5-3/r192,5,logs/v5_t45_depth_contract_v1/5-3/r192/depth_map.npy,logs/v5_t45_depth_contract_v1/5-3/r192/depth_map.png,9.0,4441,364,0.8094572057080501,0.931997297905877,91,0.02049088043233506,True,pass
