ring_key,depth_map_path,depth_map_png,selected_interpolation_window,height_px,width_px,finite_ratio,row_nonempty_ratio,largest_empty_vertical_gap_px,largest_empty_vertical_gap_frac,depth_gate_pass,depth_gate_reason
4-1/r110,logs/v5_t45_depth_contract_v1/4-1/r110/depth_map.npy,logs/v5_t45_depth_contract_v1/4-1/r110/depth_map.png,9,4378,372,0.7125602351935632,0.9264504339881224,91,0.020785746916400182,True,pass
4-10/r398,logs/v5_t45_depth_contract_v1/4-10/r398/depth_map.npy,logs/v5_t45_depth_contract_v1/4-10/r398/depth_map.png,9,4366,373,0.8371286040436765,0.9622079706825469,87,0.019926706367384334,True,pass
4-2/r142,logs/v5_t45_depth_contract_v1/4-2/r142/depth_map.npy,logs/v5_t45_depth_contract_v1/4-2/r142/depth_map.png,9,4360,363,0.8474663229458893,0.9488532110091743,79,0.018119266055045873,True,pass
4-3/r177,logs/v5_t45_depth_contract_v1/4-3/r177/depth_map.npy,logs/v5_t45_depth_contract_v1/4-3/r177/depth_map.png,9,4363,389,0.7495114031464636,0.9069447627779051,143,0.032775613110245246,True,pass
4-4/r212,logs/v5_t45_depth_contract_v1/4-4/r212/depth_map.npy,logs/v5_t45_depth_contract_v1/4-4/r212/depth_map.png,9,4365,366,0.8320607915672983,0.9301260022909508,99,0.02268041237113402,True,pass
4-5/r249,logs/v5_t45_depth_contract_v1/4-5/r249/depth_map.npy,logs/v5_t45_depth_contract_v1/4-5/r249/depth_map.png,9,4366,372,0.7954575680108759,0.9280806229958772,101,0.023133302794319743,True,pass
4-6/r276,logs/v5_t45_depth_contract_v1/4-6/r276/depth_map.npy,logs/v5_t45_depth_contract_v1/4-6/r276/depth_map.png,51,3944,409,0.7565340190540426,0.8747464503042597,237,0.06009127789046653,False,row_nonempty_ratio_low
4-7/r308,logs/v5_t45_depth_contract_v1/4-7/r308/depth_map.npy,logs/v5_t45_depth_contract_v1/4-7/r308/depth_map.png,9,4364,376,0.812392129999805,0.9278185151237397,95,0.021769019248395968,True,pass
4-8/r332,logs/v5_t45_depth_contract_v1/4-8/r332/depth_map.npy,logs/v5_t45_depth_contract_v1/4-8/r332/depth_map.png,9,4367,366,0.8256596605690217,0.9276391115182047,94,0.021525074421799864,True,pass
4-9/r363,logs/v5_t45_depth_contract_v1/4-9/r363/depth_map.npy,logs/v5_t45_depth_contract_v1/4-9/r363/depth_map.png,9,4377,374,0.851536165590917,0.9330591729495088,99,0.022618231665524333,True,pass
5-1/r118,logs/v5_t45_depth_contract_v1/5-1/r118/depth_map.npy,logs/v5_t45_depth_contract_v1/5-1/r118/depth_map.png,9,4454,378,0.8444089255719252,0.9425235743152223,93,0.02088010776829816,True,pass
5-2/r140,logs/v5_t45_depth_contract_v1/5-2/r140/depth_map.npy,logs/v5_t45_depth_contract_v1/5-2/r140/depth_map.png,9,4450,364,0.7827917026793432,0.9166292134831461,100,0.02247191011235955,True,pass
5-3/r192,logs/v5_t45_depth_contract_v1/5-3/r192/depth_map.npy,logs/v5_t45_depth_contract_v1/5-3/r192/depth_map.png,9,4441,364,0.8094572057080501,0.931997297905877,91,0.02049088043233506,True,pass
5-3/r195,logs/v5_t45_depth_contract_v1/5-3/r195/depth_map.npy,logs/v5_t45_depth_contract_v1/5-3/r195/depth_map.png,9,4459,379,0.8008107879412601,0.9120879120879121,167,0.03745234357479255,True,pass
5-4/r227,logs/v5_t45_depth_contract_v1/5-4/r227/depth_map.npy,logs/v5_t45_depth_contract_v1/5-4/r227/depth_map.png,9,4455,383,0.8425197727199468,0.9351290684624018,92,0.020650953984287318,True,pass
5-5/r254,logs/v5_t45_depth_contract_v1/5-5/r254/depth_map.npy,logs/v5_t45_depth_contract_v1/5-5/r254/depth_map.png,9,4443,386,0.8559450215102292,0.9529597119063695,82,0.01845599819941481,True,pass
5-5/r259,logs/v5_t45_depth_contract_v1/5-5/r259/depth_map.npy,logs/v5_t45_depth_contract_v1/5-5/r259/depth_map.png,9,4454,374,0.8258124044000585,0.9369106421194432,100,0.0224517287831163,True,pass
5-6/r285,logs/v5_t45_depth_contract_v1/5-6/r285/depth_map.npy,logs/v5_t45_depth_contract_v1/5-6/r285/depth_map.png,51,3621,391,0.6503798882760481,0.7746478873239436,490,0.13532173432753383,False,row_nonempty_ratio_low;large_empty_vertical_gap
5-7/r317,logs/v5_t45_depth_contract_v1/5-7/r317/depth_map.npy,logs/v5_t45_depth_contract_v1/5-7/r317/depth_map.png,9,4450,383,0.8538592425264764,0.9391011235955056,91,0.02044943820224719,True,pass
5-7/r322,logs/v5_t45_depth_contract_v1/5-7/r322/depth_map.npy,logs/v5_t45_depth_contract_v1/5-7/r322/depth_map.png,9,4439,386,0.6961342411293212,0.9387249380491102,100,0.022527596305474205,True,pass
