panel_idx,ring_key,tunnel_id,ring_id,family,segment_count,segmentation_ontology
31,4-1/r110,4-1,110,4,6,k_bearing
32,4-10/r398,4-10,398,4,6,k_bearing
33,4-2/r142,4-2,142,4,6,k_bearing
34,4-3/r177,4-3,177,4,6,k_bearing
35,4-4/r212,4-4,212,4,6,k_bearing
36,4-5/r249,4-5,249,4,6,k_bearing
37,4-6/r276,4-6,276,4,6,k_bearing
38,4-7/r308,4-7,308,4,6,k_bearing
39,4-8/r332,4-8,332,4,6,k_bearing
40,4-9/r363,4-9,363,4,6,k_bearing
41,5-1/r118,5-1,118,5,6,k_bearing
42,5-2/r140,5-2,140,5,6,k_bearing
43,5-3/r192,5-3,192,5,6,k_bearing
44,5-3/r195,5-3,195,5,6,k_bearing
45,5-4/r227,5-4,227,5,6,k_bearing
46,5-5/r254,5-5,254,5,6,k_bearing
47,5-5/r259,5-5,259,5,6,k_bearing
48,5-6/r285,5-6,285,5,6,k_bearing
49,5-7/r317,5-7,317,5,6,k_bearing
50,5-7/r322,5-7,322,5,6,k_bearing
