experience_id,experience_pool,source_type,trial_id,trial_kind,ring_id,ring_segment_count,ring_diversity_slot,ring_density_sparsity_slot,ring_tunnel_id,ring_tunnel_diameter_m,ring_ceiling_miou_ref,ring_depth_row_nonempty_ratio,ring_depth_col_nonempty_ratio,ring_depth_finite_ratio,ring_depth_coverage_ratio,ring_depth_blank_band_ratio,ring_image_height,ring_image_width,line_oblique_line_count,line_oblique_line_strength_pos,line_oblique_line_strength_neg,line_oblique_angle_consistency,line_horizontal_line_count,line_horizontal_spacing_consistency,line_detection_confidence_K,line_detection_confidence_AB,layout_k_center_norm,layout_k_center_norm_w,layout_k_width_norm,layout_k_width_norm_w,layout_ab_offset_norm_json,layout_arc_width_norm_json,layout_boundary_positions_norm_json,layout_segment_order_json,layout_hough_oblique_threshold,layout_hough_horizontal_threshold,layout_line_merge_distance,layout_line_snap_tolerance_px,layout_segmentation_slot_inset_y,layout_r_surface_min,layout_r_surface_min_frac,layout_order_branch,form_missing_block_hint,form_guardrail_violation_count,form_boundary_gap_norm,form_segment_coverage_pct,form_y_order_consistency,form_arc_width_entropy,form_mask_reclass_count,form_ready_for_segmentation,label_gt_miou,label_regret_vs_ceiling,label_agent_error,label_rank_within_ring,label_rank_within_ring_pool,label_success_flag,label_failure_flag
v3:1-5/r271:t000,v3,random,0,geometric_0,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,1.0,0.0037593984962406013,1.0,0.0,0.0,0.0,0.1666666666666667,2.165413533834587,"{""K"": 0.0, ""B1"": 0.1666666666666667, ""A1"": 0.3333333333333334, ""A2"": 0.5, ""A3"": 0.6666666666666669, ""B2"": 0.8333333333333335}","{""K"": 0.1666666666666667, ""B1"": 0.1666666666666667, ""A1"": 0.1666666666666666, ""A2"": 0.1666666666666668, ""A3"": 0.16666666666666666, ""B2"": 0.16666666666666655}","[0.08333333333333336, 0.25000000000000006, 0.4166666666666667, 0.5833333333333334, 0.7500000000000001, 0.41666666666666674]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",37.0,50.0,3.0,20.0,0.0,2.3901,0.499933,plus,1,1,0.16666666666666666,100.0,0.0,1.791759469228055,0,False,0.17467675875502,0.72042324124498,False,118.0,42.0,0,1
v3:1-5/r271:t001,v3,random,1,geometric_1,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,1.0,0.0037593984962406013,1.0,0.0,0.0,0.0,0.07,0.9094736842105263,"{""K"": 0.0, ""B1"": 0.07, ""A1"": 0.25, ""A2"": 0.43, ""A3"": 0.61, ""B2"": 0.79}","{""K"": 0.07, ""B1"": 0.17999999999999997, ""A1"": 0.17999999999999997, ""A2"": 0.17999999999999997, ""A3"": 0.1800000000000001, ""B2"": 0.20999999999999994}","[0.035, 0.16, 0.33999999999999997, 0.52, 0.7, 0.395]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",37.0,50.0,3.0,20.0,0.0,2.3901,0.499933,plus,1,1,0.06999421296296296,100.0,0.0,1.748539097947062,0,False,0.2324818330644346,0.6626181669355654,False,70.0,23.0,1,1
v3:1-5/r271:t002,v3,random,2,intrinsic_r_otsu,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6250954666046669,8.121541099946349,0.7756856902451935,10.07808174995259,"{""K"": 0.0, ""B1"": 0.7756856902451935, ""A1"": 0.2252071899905919, ""A2"": 0.30016628491122543, ""A3"": 0.8735534453962619, ""B2"": 0.005265304565574724}","{""K"": 0.7756856902451935, ""B1"": 0.4495214997453984, ""A1"": 0.07495909492063356, ""A2"": 0.5733871604850364, ""A3"": 0.1317118591693129, ""B2"": 0.9947346954344253}","[0.38784284512259676, 0.5004464401178927, 0.26268673745090865, 0.5868598651537437, 0.4394093749809183, 0.002632652282787362]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",77.0,98.0,6.1473,27.7274,6.9606,2.4726,0.613663,plus,1,1,0.005266203703703649,100.0,0.0,1.5458869746539976,0,False,0.3037253705977418,0.5913746294022582,False,21.0,5.0,1,0
v3:1-5/r271:t003,v3,random,3,random,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,3.0,0.011278195488721804,1.0,0.0,0.4450763058826465,5.78264553808431,0.5534973520744925,7.1913039427422785,"{""K"": 0.0, ""B1"": 0.5534973520744925, ""A1"": 0.9955002834343927, ""A2"": 0.7926619192137531, ""A3"": 0.6221792294411627, ""B2"": 0.9889601476818849}","{""K"": 0.5534973520744925, ""B1"": 0.44200293135990015, ""A1"": 0.7971616357793605, ""A2"": 0.8295173102274096, ""A3"": 0.3667809182407223, ""B2"": 0.011039852318115061}","[0.27674867603724623, 0.7744988177544426, 0.8940811013240728, 0.7074205743274578, 0.8055696885615239, 0.49448007384094245]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",31.0,28.0,7.7379,8.2957,0.892,2.4009,0.514822,plus,1,1,0.004513888888888928,100.0,0.0,1.5791616556368795,0,False,0.134116407072935,0.5913746294022582,False,155.0,53.0,0,1
v3:1-5/r271:t004,v3,random,4,random,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.46620602532528915,6.057173020767666,0.6292262544910104,8.175210283913279,"{""K"": 0.0, ""B1"": 0.6292262544910104, ""A1"": 0.5141176465995139, ""A2"": 0.4968734353935043, ""A3"": 0.24751492202733083, ""B2"": 0.01179402554250586}","{""K"": 0.6292262544910104, ""B1"": 0.8848913921085034, ""A1"": 0.9827557887939904, ""A2"": 0.7506414866338266, ""A3"": 0.7642791035151751, ""B2"": 0.9882059744574941}","[0.3146131272455052, 0.5716719505452622, 0.5054955409965091, 0.37219417871041754, 0.12965447378491834, 0.00589701277125293]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",29.0,86.0,3.2067,32.7152,0.0934,2.6296,0.830093,minus,1,1,0.011805555555555545,100.00000000000004,0.0,1.7792959576398664,0,False,0.2235515752555414,0.5913746294022582,False,73.0,25.0,1,1
v3:1-5/r271:t005,v3,random,5,random,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15446108106143985,2.0068326922869777,0.8803321539808286,11.437698962999036,"{""K"": 0.0, ""B1"": 0.8803321539808286, ""A1"": 0.5097908098684232, ""A2"": 0.8471502463658693, ""A3"": 0.6397171669425262, ""B2"": 0.7417709473618571}","{""K"": 0.8803321539808286, ""B1"": 0.6294586558875944, ""A1"": 0.33735943649744615, ""A2"": 0.7925669205766569, ""A3"": 0.10205378041933086, ""B2"": 0.2582290526381429}","[0.4401660769904143, 0.6950614819246259, 0.6784705281171463, 0.7434337066541977, 0.6907440571521917, 0.37088547368092856]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",22.0,70.0,6.5855,70.3505,9.0316,2.4614,0.598223,plus,1,1,0.03315972222222222,100.0,0.0,1.6109255292733478,0,False,0.1165822300616689,0.5913746294022582,False,168.0,58.0,0,1
v3:1-5/r271:t006,v3,random,6,random,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05925164234550362,0.7698258494212801,0.32303634625820665,4.1970436566479785,"{""K"": 0.0, ""B1"": 0.32303634625820665, ""A1"": 0.15019972907045187, ""A2"": 0.8163381038190757, ""A3"": 0.37944617155031246, ""B2"": 0.9787478844112216}","{""K"": 0.32303634625820665, ""B1"": 0.8271633828122452, ""A1"": 0.6661383747486238, ""A2"": 0.5631080677312368, ""A3"": 0.5993017128609092, ""B2"": 0.02125211558877835}","[0.16151817312910333, 0.23661803766432926, 0.48326891644476383, 0.5978921376846941, 0.6790970279807671, 0.4893739422056108]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",59.0,77.0,8.018,55.7338,3.7697,2.3469,0.440381,plus,1,1,0.021267361111111112,100.0,0.0,1.6001713874068244,0,False,0.2133232134537226,0.5913746294022582,False,84.0,29.0,1,1
v3:1-5/r271:t007,v3,random,7,random,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23956396182952333,3.112530270988093,0.0967040939317456,1.2564261226620783,"{""K"": 0.0, ""B1"": 0.0967040939317456, ""A1"": 0.9678280510488214, ""A2"": 0.21500403735588003, ""A3"": 0.6717651626112849, ""B2"": 0.3004200814790703}","{""K"": 0.0967040939317456, ""B1"": 0.8711239571170758, ""A1"": 0.2471759863070586, ""A2"": 0.45676112525540497, ""A3"": 0.6286549188677852, ""B2"": 0.6995799185209298}","[0.0483520469658728, 0.5322660724902835, 0.5914160442023507, 0.4433845999835825, 0.4860926220451776, 0.15021004073953514]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",81.0,83.0,2.4478,68.3806,23.6237,2.6832,0.903982,plus,1,1,0.0321759259259259,100.0,0.0,1.6290221587531393,0,False,0.1944482823768431,0.5913746294022582,False,100.0,34.0,0,1
v3:1-5/r271:t008,v3,random,8,random,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5697191478592774,7.402065319555122,0.19246349496833237,2.5005783406411908,"{""K"": 0.0, ""B1"": 0.19246349496833237, ""A1"": 0.9279056847445243, ""A2"": 0.5523264876672638, ""A3"": 0.18055249844891164, ""B2"": 0.8840568941964699}","{""K"": 0.19246349496833237, ""B1"": 0.7354421897761919, ""A1"": 0.6244208029227394, ""A2"": 0.6282260107816479, ""A3"": 0.7035043957475584, ""B2"": 0.11594310580353004}","[0.09623174748416619, 0.5601845898564284, 0.740116086205894, 0.3664394930580877, 0.5323046963226908, 0.44202844709823497]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",63.0,73.0,5.1392,35.8216,5.9872,2.0551,0.038124,minus,1,1,0.011921296296296244,100.0,0.0,1.6407655329791455,0,False,0.2152199234063257,0.5913746294022582,False,79.0,27.0,1,1
v3:1-5/r271:t009,v3,random,9,random,1-5/r271,6,dense_6,representative,1-5,5.5,0.8951,0.7430555555555556,1.0,0.6652351364522417,0.6652351364522417,0.23032407407407407,3456.0,266.0,0.0,0.0,0.0,0.0,1.0,0.0037593984962406013,1.0,0.0,0.876218808109271,11.384256394081355,0.5476351992137353,7.115140031889734,"{""K"": 0.0, ""B1"": 0.5476351992137353, ""A1"": 0.3221633097802251, ""A2"": 0.7513249198549278, ""A3"": 0.025196870801760363, ""B2"": 0.37218527256520395}","{""K"": 0.5476351992137353, ""B1"": 0.7745281105664898, ""A1"": 0.4291616100747027, ""A2"": 0.2738719509468325, ""A3"": 0.3469884017634436, ""B2"": 0.627814727434796}","[0.27381759960686763, 0.43489925449698014, 0.5367441148175764, 0.38826089532834407, 0.19869107168348218, 0.18609263628260198]","[""K"", ""B1"", ""A1"", ""A2"", ""A3"", ""B2""]",17.0,24.0,11.6386,54.3321,10.7055,2.4074,0.523782,plus,1,1,0.0252025462962964,100.0,0.0,1.7335807277825284,0,False,0.2563532920705708,0.5913746294022582,False,55.0,20.0,1,1
