failure_id,ring_id,source_type,source_pool,experience_id,trial_kind,failure_tags_json,layout_k_center_norm,layout_k_width_norm,layout_ab_offset_norm_json,line_oblique_line_count,line_detection_confidence_K,form_segment_coverage_pct,form_arc_width_entropy,label_gt_miou,k_shift_from_ring_median
random:1-1/r20:t034,1-1/r20,random,v3,v3:1-1/r20:t034,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.1920190813700619,0.7299426666414205,"{""K"": 0.0, ""B1"": 0.7299426666414205, ""A1"": 0.19002887495942478, ""A2"": 0.2734623766774591, ""A3"": 0.6617408989390918, ""B2"": 0.27106194431372976}",10.0,1.0,100.0,1.6632255951480903,0.0807504650234216,-0.274187
random:1-1/r20:t038,1-1/r20,random,v3,v3:1-1/r20:t038,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.7261550494418328,0.0425960297475365,"{""K"": 0.0, ""B1"": 0.04259602974753651, ""A1"": 0.41484726136161854, ""A2"": 0.4202810743406006, ""A3"": 0.637048947391492, ""B2"": 0.16530312464700747}",2.0,1.0,100.0,1.3681399215841528,0.090890511205559,0.259949
random:1-1/r20:t039,1-1/r20,random,v3,v3:1-1/r20:t039,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.5862766437964301,0.3582639118613484,"{""K"": 0.0, ""B1"": 0.3582639118613484, ""A1"": 0.34733129104655347, ""A2"": 0.5997026706111134, ""A3"": 0.25625379644709534, ""B2"": 0.5377769433683331}",6.0,1.0,100.0,1.6705768984412637,0.094236939085194,0.120071
random:1-1/r20:t011,1-1/r20,random,v3,v3:1-1/r20:t011,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.1367640515425815,0.8152562779950456,"{""K"": 0.0, ""B1"": 0.8152562779950456, ""A1"": 0.014271189684610608, ""A2"": 0.6284619478662908, ""A3"": 0.7930236580980341, ""B2"": 0.5130035828222085}",6.0,1.0,100.0,1.655634448192509,0.0965639137788754,-0.329442
random:1-1/r20:t001,1-1/r20,random,v3,v3:1-1/r20:t001,geometric_1,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.0,0.07,"{""K"": 0.0, ""B1"": 0.07, ""A1"": 0.25, ""A2"": 0.43, ""A3"": 0.61, ""B2"": 0.79}",3.0,1.0,100.0,1.748539097947062,0.0985534664903145,-0.466206
random:1-1/r20:t000,1-1/r20,random,v3,v3:1-1/r20:t000,geometric_0,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.0,0.1666666666666667,"{""K"": 0.0, ""B1"": 0.1666666666666667, ""A1"": 0.3333333333333334, ""A2"": 0.5, ""A3"": 0.6666666666666669, ""B2"": 0.8333333333333335}",3.0,1.0,100.0,1.791759469228055,0.0985534664903145,-0.466206
random:1-1/r20:t037,1-1/r20,random,v3,v3:1-1/r20:t037,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.8618426239884353,0.8704558683777419,"{""K"": 0.0, ""B1"": 0.8704558683777419, ""A1"": 0.6403283675048871, ""A2"": 0.11437671009282291, ""A3"": 0.7080075828281039, ""B2"": 0.8914442463536862}",18.0,1.0,100.0,1.6111702298623016,0.0989820213122729,0.395637
random:1-1/r20:t002,1-1/r20,random,v3,v3:1-1/r20:t002,intrinsic_r_otsu,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.6250954666046669,0.7756856902451935,"{""K"": 0.0, ""B1"": 0.7756856902451935, ""A1"": 0.2252071899905919, ""A2"": 0.30016628491122543, ""A3"": 0.8735534453962619, ""B2"": 0.005265304565574724}",4.0,1.0,100.0,1.5458869746539976,0.1026716105059075,0.158889
random:1-1/r20:t030,1-1/r20,random,v3,v3:1-1/r20:t030,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.6275334631501026,0.9656461478823152,"{""K"": 0.0, ""B1"": 0.9656461478823152, ""A1"": 0.18510187420136448, ""A2"": 0.7892081836630962, ""A3"": 0.724067759035724, ""B2"": 0.033434098821879754}",4.0,1.0,100.0,1.6687580468550078,0.1027400401204583,0.161327
random:1-1/r20:t055,1-1/r20,random,v3,v3:1-1/r20:t055,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.6957816033138227,0.8022117770482373,"{""K"": 0.0, ""B1"": 0.8022117770482373, ""A1"": 0.25513165552387096, ""A2"": 0.26265474458410953, ""A3"": 0.7432651842160408, ""B2"": 0.25183472629268655}",10.0,1.0,100.0,1.5937423178998285,0.1057337426799338,0.229576
random:1-1/r20:t029,1-1/r20,random,v3,v3:1-1/r20:t029,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.3193300564578712,0.1060627781501618,"{""K"": 0.0, ""B1"": 0.10606277815016185, ""A1"": 0.023900962305143048, ""A2"": 0.6762420461342136, ""A3"": 0.5576327061400105, ""B2"": 0.6621060195047348}",18.0,1.0,100.0,1.535021206656622,0.1086234987836986,-0.146876
random:1-1/r20:t008,1-1/r20,random,v3,v3:1-1/r20:t008,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.5697191478592774,0.1924634949683323,"{""K"": 0.0, ""B1"": 0.19246349496833237, ""A1"": 0.9279056847445243, ""A2"": 0.5523264876672638, ""A3"": 0.18055249844891164, ""B2"": 0.8840568941964699}",10.0,1.0,100.0,1.6407655329791455,0.1098846796356749,0.103513
random:1-4/r206:t018,1-4/r206,random,v3,v3:1-4/r206:t018,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.8540090713418452,0.3386600833802184,"{""K"": 0.0, ""B1"": 0.33866008338021847, ""A1"": 0.31800319786228226, ""A2"": 0.11271699172286997, ""A3"": 0.626611819328121, ""B2"": 0.7974581753663332}",3.0,1.0,100.0,1.610997676967973,0.054546569696964,0.168645
random:1-4/r206:t007,1-4/r206,random,v3,v3:1-4/r206:t007,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.2395639618295233,0.0967040939317456,"{""K"": 0.0, ""B1"": 0.0967040939317456, ""A1"": 0.9678280510488214, ""A2"": 0.21500403735588003, ""A3"": 0.6717651626112849, ""B2"": 0.3004200814790703}",0.0,1.0,100.0,1.6290221587531393,0.0565354719299418,-0.4458
random:1-4/r206:t010,1-4/r206,random,v3,v3:1-4/r206:t010,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.8728092085647743,0.5902909822897147,"{""K"": 0.0, ""B1"": 0.5902909822897147, ""A1"": 0.6836843733395436, ""A2"": 0.3554137770235121, ""A3"": 0.5190984864959901, ""B2"": 0.7652473832785226}",0.0,1.0,100.0,1.5838372349525842,0.0575780490439667,0.187445
random:1-4/r206:t019,1-4/r206,random,v3,v3:1-4/r206:t019,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.1972825698317465,0.6387499660221029,"{""K"": 0.0, ""B1"": 0.6387499660221029, ""A1"": 0.6093342574925998, ""A2"": 0.09624567762804348, ""A3"": 0.6611914610149492, ""B2"": 0.6319547246795186}",0.0,1.0,100.0,1.7325427239987723,0.0577315569279472,-0.488081
random:1-4/r206:t004,1-4/r206,random,v3,v3:1-4/r206:t004,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.4662060253252891,0.6292262544910104,"{""K"": 0.0, ""B1"": 0.6292262544910104, ""A1"": 0.5141176465995139, ""A2"": 0.4968734353935043, ""A3"": 0.24751492202733083, ""B2"": 0.01179402554250586}",5.0,1.0,100.00000000000004,1.7792959576398664,0.0583624451624953,-0.219158
random:1-4/r206:t015,1-4/r206,random,v3,v3:1-4/r206:t015,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.9613508447364572,0.6281008548649069,"{""K"": 0.0, ""B1"": 0.6281008548649069, ""A1"": 0.6352261838997132, ""A2"": 0.18388939650969116, ""A3"": 0.06186541815637415, ""B2"": 0.4115168234979749}",0.0,1.0,100.0,1.5820690096617689,0.0742938817916763,0.275987
random:1-4/r206:t003,1-4/r206,random,v3,v3:1-4/r206:t003,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.4450763058826465,0.5534973520744925,"{""K"": 0.0, ""B1"": 0.5534973520744925, ""A1"": 0.9955002834343927, ""A2"": 0.7926619192137531, ""A3"": 0.6221792294411627, ""B2"": 0.9889601476818849}",6.0,1.0,100.0,1.5791616556368795,0.0781404490157136,-0.240288
random:1-4/r206:t022,1-4/r206,random,v3,v3:1-4/r206:t022,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.0775465723510028,0.1310789882913207,"{""K"": 0.0, ""B1"": 0.1310789882913207, ""A1"": 0.13320664234967827, ""A2"": 0.13068424580727667, ""A3"": 0.08126231111599047, ""B2"": 0.906392365400257}",4.0,1.0,100.0,1.3354328346252025,0.0831997435075344,-0.607817
random:1-4/r206:t009,1-4/r206,random,v3,v3:1-4/r206:t009,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.876218808109271,0.5476351992137353,"{""K"": 0.0, ""B1"": 0.5476351992137353, ""A1"": 0.3221633097802251, ""A2"": 0.7513249198549278, ""A3"": 0.025196870801760363, ""B2"": 0.37218527256520395}",12.0,1.0,100.0,1.7335807277825284,0.0878547991219629,0.190855
random:1-4/r206:t017,1-4/r206,random,v3,v3:1-4/r206:t017,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.6778737085673093,0.3105701970531949,"{""K"": 0.0, ""B1"": 0.3105701970531949, ""A1"": 0.9383412868646139, ""A2"": 0.5383963798772446, ""A3"": 0.8115874027467508, ""B2"": 0.6580260816117258}",0.0,1.0,100.0,1.706765384548771,0.0881262928301317,-0.00749
random:1-4/r206:t091,1-4/r206,random,v3,v3:1-4/r206:t091,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.1695847074919149,0.6211168729938399,"{""K"": 0.0, ""B1"": 0.6211168729938399, ""A1"": 0.09043154712440271, ""A2"": 0.26229622820918563, ""A3"": 0.323201953642963, ""B2"": 0.1275440871364948}",4.0,1.0,100.0,1.5713119386717047,0.092234248953334,-0.515779
random:1-4/r206:t115,1-4/r206,random,v3,v3:1-4/r206:t115,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.0698861047119459,0.7661995856948651,"{""K"": 0.0, ""B1"": 0.7661995856948651, ""A1"": 0.03560080573242386, ""A2"": 0.9574605081902333, ""A3"": 0.8466219062162301, ""B2"": 0.4788899387610588}",5.0,1.0,100.0,1.727883711802015,0.0955562625941245,-0.615478
random:1-4/r206:t005,1-4/r206,random,v3,v3:1-4/r206:t005,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.1544610810614398,0.8803321539808286,"{""K"": 0.0, ""B1"": 0.8803321539808286, ""A1"": 0.5097908098684232, ""A2"": 0.8471502463658693, ""A3"": 0.6397171669425262, ""B2"": 0.7417709473618571}",12.0,1.0,100.0,1.6109255292733478,0.1007510769333717,-0.530903
random:1-4/r206:t055,1-4/r206,random,v3,v3:1-4/r206:t055,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.7800879533281635,0.7884206710137756,"{""K"": 0.0, ""B1"": 0.7884206710137756, ""A1"": 0.2598282312725547, ""A2"": 0.5023891568436997, ""A3"": 0.3541572813064131, ""B2"": 0.13883312865194597}",1.0,1.0,100.0,1.7215879136362624,0.1016839741790626,0.094724
random:1-4/r206:t111,1-4/r206,random,v3,v3:1-4/r206:t111,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.4066115524996243,0.7029656764487885,"{""K"": 0.0, ""B1"": 0.7029656764487885, ""A1"": 0.06969119812984093, ""A2"": 0.07133409460059403, ""A3"": 0.7584052243434544, ""B2"": 0.9680238491741814}",0.0,1.0,100.0,1.3539706997975804,0.1038161761727856,-0.278752
random:1-4/r206:t014,1-4/r206,random,v3,v3:1-4/r206:t014,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.3326814592113248,0.2029117522135161,"{""K"": 0.0, ""B1"": 0.20291175221351618, ""A1"": 0.050704055272270517, ""A2"": 0.2129081949753392, ""A3"": 0.9154643971239083, ""B2"": 0.8401688171583896}",7.0,1.0,100.0,1.555993565137454,0.1047846035842894,-0.352683
random:1-4/r206:t056,1-4/r206,random,v3,v3:1-4/r206:t056,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.8161037801473127,0.8506857523260729,"{""K"": 0.0, ""B1"": 0.8506857523260729, ""A1"": 0.5420948688562532, ""A2"": 0.7071618929461222, ""A3"": 0.6613562298348893, ""B2"": 0.4725404794672269}",1.0,1.0,100.0,1.6967845453530854,0.1072486120977388,0.13074
random:1-4/r206:t011,1-4/r206,random,v3,v3:1-4/r206:t011,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.1367640515425815,0.8152562779950456,"{""K"": 0.0, ""B1"": 0.8152562779950456, ""A1"": 0.014271189684610608, ""A2"": 0.6284619478662908, ""A3"": 0.7930236580980341, ""B2"": 0.5130035828222085}",0.0,1.0,100.0,1.655634448192509,0.1074527816670622,-0.5486
random:1-4/r206:t075,1-4/r206,random,v3,v3:1-4/r206:t075,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.5788266748775615,0.3747799596478049,"{""K"": 0.0, ""B1"": 0.37477995964780497, ""A1"": 0.22400383877430918, ""A2"": 0.9288207167842912, ""A3"": 0.7778082526655821, ""B2"": 0.4847746616533791}",0.0,1.0,100.00000000000004,1.7560393019653782,0.1083041145973808,-0.106537
random:1-4/r206:t074,1-4/r206,random,v3,v3:1-4/r206:t074,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.4850497379161552,0.3746431367318644,"{""K"": 0.0, ""B1"": 0.3746431367318644, ""A1"": 0.8811839059059087, ""A2"": 0.49468687796067456, ""A3"": 0.7568274211413688, ""B2"": 0.9952984039556347}",5.0,1.0,100.0,1.5581991614001036,0.1131268996960486,-0.200314
random:1-4/r206:t067,1-4/r206,random,v3,v3:1-4/r206:t067,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.802537529810015,0.9288248173665054,"{""K"": 0.0, ""B1"": 0.9288248173665054, ""A1"": 0.6933979206948595, ""A2"": 0.4760949847547916, ""A3"": 0.07896045201115331, ""B2"": 0.19496878302228515}",0.0,1.0,100.0,1.6850839776864932,0.1131713152427123,0.117174
random:1-4/r206:t073,1-4/r206,random,v3,v3:1-4/r206:t073,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.6510680518915885,0.9601800414340036,"{""K"": 0.0, ""B1"": 0.9601800414340035, ""A1"": 0.06246937097784078, ""A2"": 0.3857084744033549, ""A3"": 0.39353328082899774, ""B2"": 0.23377855644629572}",0.0,1.0,100.0,1.440454277226595,0.1145158730001078,-0.034296
random:1-4/r206:t064,1-4/r206,random,v3,v3:1-4/r206:t064,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.5514224363874456,0.8289392093358472,"{""K"": 0.0, ""B1"": 0.8289392093358472, ""A1"": 0.2954081784020577, ""A2"": 0.24660468912119726, ""A3"": 0.4669099153010125, ""B2"": 0.31944166145761826}",12.0,1.0,100.0,1.7087969067967363,0.1147520040880201,-0.133942
random:1-4/r206:t095,1-4/r206,random,v3,v3:1-4/r206:t095,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.0656782247590205,0.7169974780069622,"{""K"": 0.0, ""B1"": 0.7169974780069622, ""A1"": 0.07486239994413346, ""A2"": 0.7116499816123175, ""A3"": 0.3661367220723842, ""B2"": 0.4929442523504926}",0.0,1.0,100.0,1.6910576004178448,0.1149150645796008,-0.619686
random:1-5/r271:t037,1-5/r271,random,v3,v3:1-5/r271:t037,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.4385695231130314,0.5034982710332123,"{""K"": 0.0, ""B1"": 0.5034982710332123, ""A1"": 0.2996515736412977, ""A2"": 0.85298467674009, ""A3"": 0.04297116280433443, ""B2"": 0.34378900745549157}",0.0,1.0,100.0,1.7012033267356677,0.0995557878233603,-0.13032
random:1-5/r271:t032,1-5/r271,random,v3,v3:1-5/r271:t032,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.6931656155387237,0.0992491129272709,"{""K"": 0.0, ""B1"": 0.0992491129272709, ""A1"": 0.00783618802695718, ""A2"": 0.8529032198817457, ""A3"": 0.4371091002853882, ""B2"": 0.2347255028572287}",0.0,1.0,100.0,1.6757289568545868,0.1083388355924962,0.124276
random:1-5/r271:t005,1-5/r271,random,v3,v3:1-5/r271:t005,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.1544610810614398,0.8803321539808286,"{""K"": 0.0, ""B1"": 0.8803321539808286, ""A1"": 0.5097908098684232, ""A2"": 0.8471502463658693, ""A3"": 0.6397171669425262, ""B2"": 0.7417709473618571}",0.0,1.0,100.0,1.6109255292733478,0.1165822300616689,-0.414428
random:1-5/r271:t041,1-5/r271,random,v3,v3:1-5/r271:t041,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.0422390424560047,0.3152022504237806,"{""K"": 0.0, ""B1"": 0.3152022504237806, ""A1"": 0.078870146612416, ""A2"": 0.6963813911409694, ""A3"": 0.36393754464030564, ""B2"": 0.22713731757956368}",0.0,1.0,100.0,1.7521414245218851,0.117119757306935,-0.52665
random:1-5/r271:t026,1-5/r271,random,v3,v3:1-5/r271:t026,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.5693445823404962,0.4055997730291509,"{""K"": 0.0, ""B1"": 0.40559977302915096, ""A1"": 0.2728931163832057, ""A2"": 0.35432987770667246, ""A3"": 0.3628733452388647, ""B2"": 0.004343978428592243}",0.0,1.0,100.0,1.4397992559692314,0.1193180757144212,0.000455
random:1-5/r271:t055,1-5/r271,random,v3,v3:1-5/r271:t055,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.6547866029067616,0.3742726612674111,"{""K"": 0.0, ""B1"": 0.3742726612674111, ""A1"": 0.24037723575606296, ""A2"": 0.6942916228491098, ""A3"": 0.5556816690425628, ""B2"": 0.7841452903905226}",0.0,1.0,100.0,1.647816178704694,0.123459550294097,0.085897
random:1-5/r271:t018,1-5/r271,random,v3,v3:1-5/r271:t018,perturb_guardrail_smoke,"[""bad_layout_perturbation"", ""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.02,0.5058544459633577,"{""K"": 0.0, ""B1"": 0.5058544459633577, ""A1"": 0.635281458674555, ""A2"": 0.4252997739994274, ""A3"": 0.5918117441786326, ""B2"": 0.552941359999578}",0.0,1.0,100.0,1.595979459695477,0.1240072228663178,-0.548889
random:1-5/r271:t003,1-5/r271,random,v3,v3:1-5/r271:t003,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.4450763058826465,0.5534973520744925,"{""K"": 0.0, ""B1"": 0.5534973520744925, ""A1"": 0.9955002834343927, ""A2"": 0.7926619192137531, ""A3"": 0.6221792294411627, ""B2"": 0.9889601476818849}",0.0,1.0,100.0,1.5791616556368795,0.134116407072935,-0.123813
random:1-5/r271:t033,1-5/r271,random,v3,v3:1-5/r271:t033,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.5597527421175011,0.062776776978781,"{""K"": 0.0, ""B1"": 0.06277677697878103, ""A1"": 0.2622169718556183, ""A2"": 0.09167208635496914, ""A3"": 0.336348100420044, ""B2"": 0.2824358199828897}",0.0,1.0,100.0,1.527100835043918,0.1344434170056999,-0.009137
random:1-5/r271:t057,1-5/r271,random,v3,v3:1-5/r271:t057,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.1538877399018965,0.3088985774013545,"{""K"": 0.0, ""B1"": 0.3088985774013545, ""A1"": 0.08269627105608734, ""A2"": 0.6258515197093246, ""A3"": 0.6745376825653295, ""B2"": 0.8584004299538743}",0.0,1.0,100.0,1.5072250597001733,0.1366119646678244,-0.415002
random:1-5/r271:t020,1-5/r271,random,v3,v3:1-5/r271:t020,perturb_wrong_k,"[""bad_layout_perturbation"", ""bad_k_shift"", ""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.8009453915175325,0.7756856902451935,"{""K"": 0.0, ""B1"": 0.7756856902451935, ""A1"": 0.2252071899905919, ""A2"": 0.30016628491122543, ""A3"": 0.8735534453962619, ""B2"": 0.005265304565574724}",0.0,1.0,100.0,1.5458869746539976,0.1390035033138532,0.232056
random:1-5/r271:t031,1-5/r271,random,v3,v3:1-5/r271:t031,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.5066388453315698,0.86336219890118,"{""K"": 0.0, ""B1"": 0.86336219890118, ""A1"": 0.07592236347651449, ""A2"": 0.012619768771705897, ""A3"": 0.7272969389679008, ""B2"": 0.9920033513321443}",0.0,1.0,100.0,1.4812051521369765,0.1474353682785891,-0.06225
random:4-1/r116:t042,4-1/r116,random,v3,v3:4-1/r116:t042,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.5604391223924309,0.4025893511533907,"{""K"": 0.0, ""B1"": 0.4025893511533907, ""A1"": 0.04768771805562133, ""A2"": 0.4954414404886987, ""A3"": 0.2821526298230592, ""A4"": 0.3310839244649576, ""B2"": 0.030016042115728944}",0.0,1.0,100.0,1.7925784440952126,0.0803187079670341,0.050648
random:4-1/r116:t031,4-1/r116,random,v3,v3:4-1/r116:t031,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.499463819851335,0.8908027167684656,"{""K"": 0.0, ""B1"": 0.8908027167684656, ""A1"": 0.634949587860706, ""A2"": 0.10874962539506315, ""A3"": 0.6180557404926457, ""A4"": 0.3115499115114069, ""B2"": 0.4615255776436836}",10.0,1.0,100.0,1.85933369743467,0.08343380868569,-0.010327
random:4-1/r116:t029,4-1/r116,random,v3,v3:4-1/r116:t029,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.6136224630827655,0.1815352987037138,"{""K"": 0.0, ""B1"": 0.18153529870371388, ""A1"": 0.3311249327670819, ""A2"": 0.7002619306250089, ""A3"": 0.44304054840562246, ""A4"": 0.6510062718499804, ""B2"": 0.9525689040434233}",0.0,1.0,100.0,1.7008404581323635,0.0895991122034408,0.103832
random:4-1/r116:t000,4-1/r116,random,v3,v3:4-1/r116:t000,geometric_0,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.0,0.1428571428571428,"{""K"": 0.0, ""B1"": 0.14285714285714288, ""A1"": 0.28571428571428575, ""A2"": 0.4285714285714286, ""A3"": 0.5714285714285715, ""A4"": 0.7142857142857144, ""B2"": 0.8571428571428573}",1.0,1.0,100.0,1.9459101490553137,0.0915456727280267,-0.509791
random:4-1/r116:t003,4-1/r116,random,v3,v3:4-1/r116:t003,random,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.5045482589579533,0.9955002834343928,"{""K"": 0.0, ""B1"": 0.9955002834343927, ""A1"": 0.7926619192137531, ""A2"": 0.6221792294411627, ""A3"": 0.9889601476818849, ""A4"": 0.21530869823559895, ""B2"": 0.16021203385784455}",0.0,1.0,100.0,1.858356258546,0.0984282873390782,-0.005243
random:4-1/r116:t057,4-1/r116,random,v3,v3:4-1/r116:t057,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.4780941133547414,0.0325054201738475,"{""K"": 0.0, ""B1"": 0.0325054201738475, ""A1"": 0.7334170976285546, ""A2"": 0.3311356724709583, ""A3"": 0.5787833164854391, ""A4"": 0.4219099645636145, ""B2"": 0.8802754726256006}",0.0,1.0,100.0,1.6883719289716526,0.1005281751802888,-0.031697
random:4-1/r116:t026,4-1/r116,random,v3,v3:4-1/r116:t026,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.5528031915047416,0.4505153882571532,"{""K"": 0.0, ""B1"": 0.45051538825715326, ""A1"": 0.622621482168682, ""A2"": 0.7730347237127408, ""A3"": 0.5564493613014888, ""A4"": 0.4081401253996444, ""B2"": 0.9129848164775501}",0.0,1.0,100.0,1.709440200375518,0.100608265046808,0.043012
random:4-1/r116:t039,4-1/r116,random,v3,v3:4-1/r116:t039,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.5131434448408557,0.4930646209368959,"{""K"": 0.0, ""B1"": 0.49306462093689596, ""A1"": 0.015461636772210241, ""A2"": 0.43604233810454246, ""A3"": 0.9957353548853927, ""A4"": 0.6196072726070284, ""B2"": 0.284426513316678}",1.0,1.0,100.0,1.931843597182874,0.1035758052625262,0.003353
random:4-1/r116:t025,4-1/r116,random,v3,v3:4-1/r116:t025,bo,"[""low_miou"", ""good_form_wrong_anchor"", ""hard_failure""]",0.4972812763246047,0.7386129810859107,"{""K"": 0.0, ""B1"": 0.7386129810859107, ""A1"": 0.42701786942491204, ""A2"": 0.12572199101734605, ""A3"": 0.5192206678762874, ""A4"": 0.7809229293435905, ""B2"": 0.132676028357828}",0.0,1.0,100.0,1.8713283184598783,0.1128236920931084,-0.01251
