proposal_id,ring_id,source_type,anchor_experience_id,candidate_experience_id,candidate_trial_kind,delta_k_center_norm,delta_k_width_norm,delta_ab_offset_norm_json,delta_arc_width_norm_json,delta_form_params_json,label_gt_miou,label_regret_vs_ceiling,label_rank_within_ring_pool,label_success_flag,top_frac_bucket,deployment_recipe
sam4tun:1-1/r20:from_016,1-1/r20,SAM4Tun,v4:1-1/r20:t000,v4:1-1/r20:t016,perturb_small_segment,-0.320240141471298,0.007504486419473905,"{""A1"": 1.7945677895536694e-05, ""A2"": -0.007468595063682804, ""A3"": -0.0149551358052612, ""B1"": 0.007504486419473891, ""B2"": -0.022441676546839484, ""K"": 0.0}","{""A1"": -0.007486540741578368, ""A2"": -0.007486540741578368, ""A3"": -0.007486540741578229, ""B1"": -0.007486540741578368, ""B2"": 0.02244167654683943, ""K"": 0.007504486419473891}","{""hough_horizontal_threshold"": 49.0, ""hough_oblique_threshold"": -8.0, ""line_merge_distance"": -8.7933, ""line_snap_tolerance_px"": -4.284799999999997, ""r_surface_min"": 0.5967000000000002, ""r_surface_min_frac"": 0.830095, ""segmentation_slot_inset_y"": 0.0934}",0.5333374422857214,0.3494625577142786,1.0,1,0.2,candidate = SAM4Tun_prior + retrieved_successful_delta
sam4tun:1-1/r20:from_057,1-1/r20,SAM4Tun,v4:1-1/r20:t000,v4:1-1/r20:t057,bo,-0.34216119780978127,-0.022834038702686604,"{""A1"": -0.09870768204567565, ""A2"": 0.31871136412454754, ""A3"": 0.005247725038713846, ""B1"": -0.022834038702686556, ""B2"": -0.0003318491895241138, ""K"": 0.0}","{""A1"": 0.4174190461702232, ""A2"": 0.6865363609141665, ""A3"": -0.005579574228237988, ""B1"": -0.07587364334298907, ""B2"": 0.00033184918952408604, ""K"": -0.022834038702686556}","{""hough_horizontal_threshold"": -20.0, ""hough_oblique_threshold"": 51.0, ""line_merge_distance"": -9.763, ""line_snap_tolerance_px"": 25.006500000000003, ""r_surface_min"": 0.0022999999999999687, ""r_surface_min_frac"": 0.0032, ""segmentation_slot_inset_y"": 3.6129}",0.5063576433907427,0.3494625577142786,2.0,1,0.2,candidate = SAM4Tun_prior + retrieved_successful_delta
sam4tun:1-1/r20:from_019,1-1/r20,SAM4Tun,v4:1-1/r20:t000,v4:1-1/r20:t019,perturb_wrong_r_high,-0.320240141471298,0.5667307409104844,"{""A1"": 0.2641355922774094, ""A2"": 0.05940484032982152, ""A3"": -0.37744021377793036, ""B1"": 0.5667307409104844, ""B2"": -0.8006476510043337, ""K"": 0.0}","{""A1"": 0.7952692480524121, ""A2"": 0.5631549458922482, ""A3"": 0.5767925627735968, ""B1"": 0.6974048513669251, ""B2"": 0.8006476510043337, ""K"": 0.5667307409104844}","{""hough_horizontal_threshold"": 49.0, ""hough_oblique_threshold"": -8.0, ""line_merge_distance"": -8.7933, ""line_snap_tolerance_px"": -4.284799999999997, ""r_surface_min"": 0.6829000000000001, ""r_surface_min_frac"": 0.950011, ""segmentation_slot_inset_y"": 0.0934}",0.4134414391618705,0.3494625577142786,3.0,1,0.2,candidate = SAM4Tun_prior + retrieved_successful_delta
sam4tun:1-1/r20:from_003,1-1/r20,SAM4Tun,v4:1-1/r20:t000,v4:1-1/r20:t003,random,-0.320240141471298,0.5667307409104844,"{""A1"": 0.2641355922774094, ""A2"": 0.05940484032982152, ""A3"": -0.37744021377793036, ""B1"": 0.5667307409104844, ""B2"": -0.8006476510043337, ""K"": 0.0}","{""A1"": 0.7952692480524121, ""A2"": 0.5631549458922482, ""A3"": 0.5767925627735968, ""B1"": 0.6974048513669251, ""B2"": 0.8006476510043337, ""K"": 0.5667307409104844}","{""hough_horizontal_threshold"": 49.0, ""hough_oblique_threshold"": -8.0, ""line_merge_distance"": -8.7933, ""line_snap_tolerance_px"": -4.284799999999997, ""r_surface_min"": 0.5967000000000002, ""r_surface_min_frac"": 0.830095, ""segmentation_slot_inset_y"": 0.0934}",0.4062023646995905,0.4765976353004095,4.0,1,0.2,candidate = SAM4Tun_prior + retrieved_successful_delta
sam4tun:1-1/r20:from_020,1-1/r20,SAM4Tun,v4:1-1/r20:t000,v4:1-1/r20:t020,perturb_weak_hough,-0.320240141471298,0.5667307409104844,"{""A1"": 0.2641355922774094, ""A2"": 0.05940484032982152, ""A3"": -0.37744021377793036, ""B1"": 0.5667307409104844, ""B2"": -0.8006476510043337, ""K"": 0.0}","{""A1"": 0.7952692480524121, ""A2"": 0.5631549458922482, ""A3"": 0.5767925627735968, ""B1"": 0.6974048513669251, ""B2"": 0.8006476510043337, ""K"": 0.5667307409104844}","{""hough_horizontal_threshold"": 80.0, ""hough_oblique_threshold"": 45.0, ""line_merge_distance"": -8.7933, ""line_snap_tolerance_px"": -4.284799999999997, ""r_surface_min"": 0.5967000000000002, ""r_surface_min_frac"": 0.830095, ""segmentation_slot_inset_y"": 0.0934}",0.4062023646995905,0.3494625577142786,4.0,1,0.2,candidate = SAM4Tun_prior + retrieved_successful_delta
sam4tun:1-1/r20:from_015,1-1/r20,SAM4Tun,v4:1-1/r20:t000,v4:1-1/r20:t015,perturb_ambiguous_lines,-0.320240141471298,0.5667307409104844,"{""A1"": 0.2641355922774094, ""A2"": 0.05940484032982152, ""A3"": -0.37744021377793036, ""B1"": 0.5667307409104844, ""B2"": -0.8006476510043337, ""K"": 0.0}","{""A1"": 0.7952692480524121, ""A2"": 0.5631549458922482, ""A3"": 0.5767925627735968, ""B1"": 0.6974048513669251, ""B2"": 0.8006476510043337, ""K"": 0.5667307409104844}","{""hough_horizontal_threshold"": 49.0, ""hough_oblique_threshold"": -8.0, ""line_merge_distance"": -0.5337999999999994, ""line_snap_tolerance_px"": 39.8172, ""r_surface_min"": 0.5967000000000002, ""r_surface_min_frac"": 0.830095, ""segmentation_slot_inset_y"": 0.0934}",0.4062023646995905,0.4765976353004095,4.0,1,0.2,candidate = SAM4Tun_prior + retrieved_successful_delta
sam4tun:1-1/r20:from_013,1-1/r20,SAM4Tun,v4:1-1/r20:t000,v4:1-1/r20:t013,perturb_wrong_r_low,-0.320240141471298,0.5667307409104844,"{""A1"": 0.2641355922774094, ""A2"": 0.05940484032982152, ""A3"": -0.37744021377793036, ""B1"": 0.5667307409104844, ""B2"": -0.8006476510043337, ""K"": 0.0}","{""A1"": 0.7952692480524121, ""A2"": 0.5631549458922482, ""A3"": 0.5767925627735968, ""B1"": 0.6974048513669251, ""B2"": 0.8006476510043337, ""K"": 0.5667307409104844}","{""hough_horizontal_threshold"": 49.0, ""hough_oblique_threshold"": -8.0, ""line_merge_distance"": -8.7933, ""line_snap_tolerance_px"": -4.284799999999997, ""r_surface_min"": 0.035900000000000265, ""r_surface_min_frac"": 0.049942, ""segmentation_slot_inset_y"": 0.0934}",0.4015403931940736,0.4765976353004095,7.0,1,0.2,candidate = SAM4Tun_prior + retrieved_successful_delta
sam4tun:1-1/r20:from_023,1-1/r20,SAM4Tun,v4:1-1/r20:t000,v4:1-1/r20:t023,perturb_wrong_r_low,-0.320240141471298,0.5667307409104844,"{""A1"": 0.2641355922774094, ""A2"": 0.05940484032982152, ""A3"": -0.37744021377793036, ""B1"": 0.5667307409104844, ""B2"": -0.8006476510043337, ""K"": 0.0}","{""A1"": 0.7952692480524121, ""A2"": 0.5631549458922482, ""A3"": 0.5767925627735968, ""B1"": 0.6974048513669251, ""B2"": 0.8006476510043337, ""K"": 0.5667307409104844}","{""hough_horizontal_threshold"": 49.0, ""hough_oblique_threshold"": -8.0, ""line_merge_distance"": -8.7933, ""line_snap_tolerance_px"": -4.284799999999997, ""r_surface_min"": 0.035900000000000265, ""r_surface_min_frac"": 0.049942, ""segmentation_slot_inset_y"": 0.0934}",0.4015403931940736,0.3494625577142786,7.0,1,0.2,candidate = SAM4Tun_prior + retrieved_successful_delta
sam4tun:1-1/r20:from_055,1-1/r20,SAM4Tun,v4:1-1/r20:t000,v4:1-1/r20:t055,bo,-0.3845385095479288,0.0457952963353528,"{""A1"": -0.21890384204671837, ""A2"": -0.2192509435771371, ""A3"": 0.06459605542906999, ""B1"": 0.0457952963353528, ""B2"": 0.04146241719052468, ""K"": 0.0}","{""A1"": -0.000347101530418753, ""A2"": 0.2838469990062072, ""A3"": -0.023133638238545334, ""B1"": 0.7353008616179288, ""B2"": -0.04146241719052471, ""K"": 0.0457952963353528}","{""hough_horizontal_threshold"": -7.0, ""hough_oblique_threshold"": -9.0, ""line_merge_distance"": -8.5455, ""line_snap_tolerance_px"": 39.653800000000004, ""r_surface_min"": 0.6167000000000002, ""r_surface_min_frac"": 0.857918, ""segmentation_slot_inset_y"": 10.2963}",0.3990244393595049,0.3494625577142786,9.0,1,0.2,candidate = SAM4Tun_prior + retrieved_successful_delta
sam4tun:1-1/r20:from_021,1-1/r20,SAM4Tun,v4:1-1/r20:t000,v4:1-1/r20:t021,perturb_misaligned,-0.2995005922168655,0.623318025925874,"{""A1"": 0.24405736738276845, ""A2"": 0.04719790749134595, ""A3"": -0.4130908035123084, ""B1"": 0.623318025925874, ""B2"": -0.8124416765468395, ""K"": 0.0}","{""A1"": 0.8031405401085775, ""A2"": 0.5397112889963457, ""A3"": 0.6006491269654689, ""B1"": 0.6207393414568945, ""B2"": -0.1875583234531605, ""K"": 0.623318025925874}","{""hough_horizontal_threshold"": 49.0, ""hough_oblique_threshold"": -8.0, ""line_merge_distance"": -8.7933, ""line_snap_tolerance_px"": -4.284799999999997, ""r_surface_min"": 0.5967000000000002, ""r_surface_min_frac"": 0.830095, ""segmentation_slot_inset_y"": 0.0934}",0.3955686370445241,0.3494625577142786,10.0,1,0.2,candidate = SAM4Tun_prior + retrieved_successful_delta
