llm,condition,tunnel_id,family_alternated_continuous_complex,family_regular_all_vs_complex,schema,class_name,iou
gpt5.4,sam4tun,1-1,alternated,regular_all,,Background,0.775
gpt5.4,sam4tun,1-1,alternated,regular_all,,K-block,0.252
gpt5.4,sam4tun,1-1,alternated,regular_all,,B1-block,0.316
gpt5.4,sam4tun,1-1,alternated,regular_all,,A1-block,0.201
gpt5.4,sam4tun,1-1,alternated,regular_all,,A2-block,0.129
gpt5.4,sam4tun,1-1,alternated,regular_all,,A3-block,0.27
gpt5.4,sam4tun,1-1,alternated,regular_all,,B2-block,0.213
gpt5.4,sam4tun,1-2,alternated,regular_all,,Background,0.644
gpt5.4,sam4tun,1-2,alternated,regular_all,,K-block,0.13
gpt5.4,sam4tun,1-2,alternated,regular_all,,B1-block,0.144
gpt5.4,sam4tun,1-2,alternated,regular_all,,A1-block,0.122
gpt5.4,sam4tun,1-2,alternated,regular_all,,A2-block,0.099
gpt5.4,sam4tun,1-2,alternated,regular_all,,A3-block,0.275
gpt5.4,sam4tun,1-2,alternated,regular_all,,B2-block,0.197
gpt5.4,sam4tun,1-3,alternated,regular_all,,Background,0.789
gpt5.4,sam4tun,1-3,alternated,regular_all,,K-block,0.282
gpt5.4,sam4tun,1-3,alternated,regular_all,,B1-block,0.273
gpt5.4,sam4tun,1-3,alternated,regular_all,,A1-block,0.218
gpt5.4,sam4tun,1-3,alternated,regular_all,,A2-block,0.13
gpt5.4,sam4tun,1-3,alternated,regular_all,,A3-block,0.319
gpt5.4,sam4tun,1-3,alternated,regular_all,,B2-block,0.345
gpt5.4,sam4tun,1-4,alternated,regular_all,,Background,0.752
gpt5.4,sam4tun,1-4,alternated,regular_all,,K-block,0.176
gpt5.4,sam4tun,1-4,alternated,regular_all,,B1-block,0.324
gpt5.4,sam4tun,1-4,alternated,regular_all,,A1-block,0.277
gpt5.4,sam4tun,1-4,alternated,regular_all,,A2-block,0.27
gpt5.4,sam4tun,1-4,alternated,regular_all,,A3-block,0.389
gpt5.4,sam4tun,1-4,alternated,regular_all,,B2-block,0.248
gpt5.4,sam4tun,1-5,alternated,regular_all,,Background,0.789
gpt5.4,sam4tun,1-5,alternated,regular_all,,K-block,0.358
gpt5.4,sam4tun,1-5,alternated,regular_all,,B1-block,0.441
gpt5.4,sam4tun,1-5,alternated,regular_all,,A1-block,0.505
