tunnel_id,ring_id,ring_key,depth_map_path,gt_labelmap_path,gt_available,foreground_support_ratio,largest_fg_hole_ratio,overfill_ratio,valid_ratio,pre_score
1-1,25,1-1/r25,data/1-1/r25/depth_map_outlier.npy,,False,,,,,
1-3,127,1-3/r127,data/1-3/r127/depth_map_outlier.npy,,False,,,,,
1-3,128,1-3/r128,data/1-3/r128/depth_map_outlier.npy,,False,,,,,
1-5,272,1-5/r272,data/1-5/r272/depth_map_outlier.npy,,False,,,,,
1-5,273,1-5/r273,data/1-5/r273/depth_map_outlier.npy,,False,,,,,
2-2,135,2-2/r135,data/2-2/r135/depth_map_outlier.npy,,False,,,,,
2-3,221,2-3/r221,data/2-3/r221/depth_map_outlier.npy,,False,,,,,
2-3,222,2-3/r222,data/2-3/r222/depth_map_outlier.npy,,False,,,,,
4-10,394,4-10/r394,data/4-10/r394/depth_map_outlier.npy,,False,,,,,
4-4,215,4-4/r215,data/4-4/r215/depth_map_outlier.npy,,False,,,,,
4-6,283,4-6/r283,data/4-6/r283/depth_map_outlier.npy,,False,,,,,
5-1,113,5-1/r113,data/5-1/r113/depth_map_outlier.npy,,False,,,,,
5-1,114,5-1/r114,data/5-1/r114/depth_map_outlier.npy,,False,,,,,
5-1,116,5-1/r116,data/5-1/r116/depth_map_outlier.npy,,False,,,,,
5-6,285,5-6/r285,data/5-6/r285/depth_map_outlier.npy,,False,,,,,
5-7,315,5-7/r315,data/5-7/r315/depth_map_outlier.npy,,False,,,,,
5-7,319,5-7/r319,data/5-7/r319/depth_map_outlier.npy,,False,,,,,
