tunnel_id,ring_id,ring_key,status,failure_reason,valid_ratio,largest_empty_ratio,empty_row_bands,empty_col_bands,row_occupancy_p50,col_occupancy_p50,col_occupancy_std,shape_h,shape_w,map_area_px,n_points,nan_ratio,depth_map_path,gt_labelmap_exists,gt_labelmap_path
1-1,25,1-1/r25,PASS,,0.7138671875,0.2180471161265432,827,0,0.975,0.7355324074074074,0.08426337174515486,3456,240,829440,31182,0.2861,data/1-1/r25/depth_map_outlier.npy,False,
1-3,127,1-3/r127,PASS,,0.6997406376518218,0.29372727357924727,875,0,0.9676113360323887,0.7201967592592593,0.10880078924955901,3456,247,853632,105190,0.3003,data/1-3/r127/depth_map_outlier.npy,False,
1-3,128,1-3/r128,FAIL,dominant_empty_component,0.04141898148148148,0.9584270833333334,3168,5,0.0,0.038628472222222224,0.01302920019249208,3456,250,864000,239279,0.9586,data/1-3/r128/depth_map_outlier.npy,False,
1-5,272,1-5/r272,FAIL,near_empty_valid_ratio,0.016192761826953003,0.9833294428882664,3371,7,0.0,0.016493055555555556,0.003366913487045128,3456,238,822528,251689,0.9838,data/1-5/r272/depth_map_outlier.npy,False,
1-5,273,1-5/r273,PASS,,0.7085199357520786,0.28358253023431595,844,0,0.9673469387755103,0.7268518518518519,0.10067015935378279,3456,245,846720,115983,0.2915,data/1-5/r273/depth_map_outlier.npy,False,
2-2,135,2-2/r135,PASS,,0.7013289013098465,0.2917936991869919,845,1,0.967479674796748,0.7261284722222222,0.11315791325254762,3456,246,850176,31472,0.2987,data/2-2/r135/depth_map_outlier.npy,False,
2-3,221,2-3/r221,FAIL,many_empty_row_bands,0.16293160690571049,0.8357830253061826,2769,0,0.0,0.1791087962962963,0.033826537017387914,3456,251,867456,279318,0.8371,data/2-3/r221/depth_map_outlier.npy,False,
2-3,222,2-3/r222,PASS,,0.7045729354862993,0.28916600797952424,886,1,0.967479674796748,0.7262731481481481,0.10767693405221153,3456,246,850176,132742,0.2954,data/2-3/r222/depth_map_outlier.npy,False,
4-10,394,4-10/r394,PASS,,0.7766450650237166,0.22228123413788878,650,0,0.9278350515463918,0.831918505942275,0.15883136469768336,4712,388,1828256,329659,0.2234,data/4-10/r394/depth_map_outlier.npy,False,
4-4,215,4-4/r215,PASS,,0.7027188671925514,0.29541752355844036,627,2,0.8918918918918919,0.7707979626485568,0.1882383879392724,4712,407,1917784,627874,0.2973,data/4-4/r215/depth_map_outlier.npy,False,
4-6,283,4-6/r283,PASS,,0.6582180438157668,0.3079891898108217,733,6,0.8502673796791443,0.6959139784946237,0.13413977250698247,4650,374,1739100,7938,0.3418,data/4-6/r283/depth_map_outlier.npy,False,
5-1,113,5-1/r113,PASS,,0.8165106358111267,0.17017122487143524,551,2,0.9755434782608695,0.8408602150537634,0.11510092310095474,4650,368,1711200,97333,0.1835,data/5-1/r113/depth_map_outlier.npy,False,
5-1,114,5-1/r114,PASS,,0.821953167336927,0.17302758050255268,509,0,0.9496021220159151,0.861505376344086,0.14064213222099262,4650,377,1753050,228332,0.178,data/5-1/r114/depth_map_outlier.npy,False,
5-1,116,5-1/r116,PASS,,0.721957041827694,0.26974156742119515,449,0,0.8875305623471883,0.7967741935483871,0.19534496888701458,4650,409,1901850,591746,0.278,data/5-1/r116/depth_map_outlier.npy,False,
5-6,285,5-6/r285,PASS,,0.46761767991766146,0.5318627558784979,1823,2,0.33031088082901555,0.4762308998302207,0.09698295737023911,4712,386,1818832,649420,0.5324,data/5-6/r285/depth_map_outlier.npy,False,
5-7,315,5-7/r315,PASS,,0.7290179915986368,0.27055031571160604,448,0,0.8968058968058968,0.7903225806451613,0.19111884421870237,4650,407,1892550,874469,0.271,data/5-7/r315/depth_map_outlier.npy,False,
5-7,319,5-7/r319,PASS,,0.74131104390681,0.25006944444444446,518,2,0.9244791666666666,0.7866666666666666,0.1604922254850119,4650,384,1785600,68190,0.2587,data/5-7/r319/depth_map_outlier.npy,False,
