tunnel,category,missing,max_id,n_rings,acc_base,acc_msk,base_correct,base_fn,base_fp,base_swap,base_unmapped,msk_correct,msk_fn,msk_fp,msk_swap,msk_unmapped,c1_count_ratio,c1_density_cv,c1_corr_dens_acc,c2_k_span,c2_k_meanshift,c2_misloc_frac,c2_acc_aligned,c2_acc_misloc,c3_recall_near,c3_recall_far,c4_n_rings,c4_rot,c4_flip,c4_other,c4_flip_acc,c3_recall_d0,c3_recall_d1,c3_recall_d2,c3_recall_d3
1-1,regular,False,6,10,0.3831646126267645,0.781576430517406,0.5326151107828809,0.038331882920008754,0.03890703490223454,0.3901459713948758,0.0,0.7984146757626079,0.016301850547613145,0.04985981642849808,0.1354236572612808,0.0,16.924732217304854,0.8840237549192759,0.45279619877219685,5.468696223059181,3.552400382262652,0.2,0.8122921376757442,0.03745583633291587,0.8471434961618305,0.6820360991298337,10,9,0,1,,0.6581055246228772,0.8471434961618305,0.8634604199082946,0.6820360991298337
1-2,regular,False,6,10,0.2594445391089042,0.7748216496446564,0.45249823920481025,0.11670884911918442,0.0343031117483181,0.39648979992768724,0.0,0.7954927823071956,0.023262873659548943,0.04846053206319217,0.13278381197006334,0.0,24.700284707812575,0.9015307053864899,0.31478590542581575,2.156932430667073,2.0777164094198515,0.1,0.7782385141297986,0.26217601822842496,0.7719555031363626,0.6343774123371307,10,9,0,1,,0.7554620681443851,0.7719555031363626,0.8286818225824906,0.6343774123371307
1-3,regular,False,6,10,0.422434595645464,0.8289681037312211,0.5572885246384062,0.035700622817877795,0.03306053083505521,0.3739503217086608,0.0,0.8233660752384175,0.012540436918407285,0.055325797019807,0.10876769082336818,0.0,16.56012171580015,0.9114363781978783,0.4745180938784143,5.449153409140589,2.8327096618238627,0.0,0.8086403565901881,,0.8641640660509831,0.6785888200426511,10,9,0,1,,0.685586021042595,0.8641640660509831,0.8371858152800102,0.6785888200426511
1-4,regular,False,6,10,0.4294368025668364,0.5501663421741331,0.5655395692365364,0.054623444179511885,0.031811476217739734,0.348025510366212,0.0,0.6334260986278025,0.04169159947152328,0.04912431321455713,0.27575798868611706,0.0,38.377051470074726,0.9914479335980488,-0.47916313204216837,5.441009096231436,2.847900320713122,0.1,0.688659343475203,0.38561523083945914,0.534459076574357,0.761124602272345,10,9,0,1,,0.4523228501183589,0.534459076574357,0.761124602272345,
1-5,regular,False,6,10,0.6783648693383503,0.8015227744255181,0.7330311904429879,0.0284474503788407,0.038894621856551854,0.19962673732161948,0.0,0.796498861153721,0.006051224840793939,0.06275926184167713,0.13469065216380793,0.0,39.61361203802808,0.9609102954425044,0.6020196867027393,5.370040320445699,2.325191439316624,0.0,0.604097632903302,,0.8045795729306816,0.8178393034010503,10,7,3,0,0.0815123462486227,0.7180297397769517,0.8045795729306816,0.8178393034010503,
2-1,regular,False,6,10,0.6103556301000476,0.8337685569766007,0.6970054917231444,0.04810373300759168,0.028822245509167684,0.22606852976009623,0.0,0.8325360310364,0.008907256639363068,0.05049563989839175,0.1080610724258452,0.0,16.388187927973625,0.9019613785582056,0.4574579799549568,2.144180831084272,2.0814087973651336,0.0,0.8191898336439067,,0.8223270817571775,0.7691737872105844,10,10,0,0,,0.7625611325611326,0.8223270817571775,0.9007255501925359,0.7691737872105844
2-2,regular,False,6,10,0.4383336707051412,0.8414676477487557,0.5765545166828703,0.034121279192437376,0.02597532217694392,0.3633488819477484,0.0,0.8467472022836812,0.010412055519930496,0.04106540760813355,0.10177533458825476,0.0,16.07775165226233,0.8936609415722371,0.7887687571177971,2.151707046102321,2.0845515387788436,0.0,0.8186077063013645,,0.8589242921807048,0.6317020452932447,10,10,0,0,,0.7315630775216418,0.8589242921807048,0.8859925176056338,0.6317020452932447
2-3,regular,False,6,10,0.4262213805542138,0.8051785619045402,0.5623534775859155,0.09559348459572867,0.04278880973268108,0.2992642280856748,0.0,0.7929468665462868,0.00814244602159498,0.07298270137316865,0.12592798605894964,0.0,14.716637254305361,0.880684737169902,0.3470839098502604,2.130709314606343,2.0603740471681444,0.0,0.7986583677093432,,0.8069461699310316,0.6757692051731405,10,10,0,0,,0.7095201160084983,0.8069461699310316,0.8575953551044061,0.6757692051731405
2-4,regular,False,6,10,0.6151744745851362,0.8021113178165565,0.6942351689969132,0.04933153484993904,0.037045991024876136,0.21938730512827165,0.0,0.7968721952737932,0.027120956654820887,0.06494461881663251,0.11106222925475344,0.0,21.3232423743733,0.9382208768485861,0.36910825600091746,2.1720686584932425,2.084200249914394,0.0,0.7625068987999997,,0.8323227863373361,0.7631324368772371,10,10,0,0,,0.6818838945846651,0.8323227863373361,0.793663077739993,0.7631324368772371
2-5,regular,False,6,10,0.3298614376567262,0.8267146873676314,0.5023768792577403,0.041578151629665376,0.021598470673932783,0.43444649843866157,0.0,0.8323229926392899,0.013478869423151846,0.04458592598886995,0.10961221194868827,0.0,37.11157337367625,0.9382689320846465,0.5324304187706997,2.1622543624309953,2.0896528129093244,0.0,0.7860654642163253,,0.8367158465272616,0.6591289782244556,10,10,0,0,,0.7443551059326332,0.8367158465272616,0.8719804916180232,0.6591289782244556
