tunnel,category,ring,n,density,k_gt,k_off,k_off_sectors,acc
1-1,regular,16,36829,1683.4184246050193,7.619758803180131,4.394395852921336,1.52606541996858,0.01805353807843951
1-1,regular,17,67840,3110.6355670345797,13.07486601214215,3.159514898194635,1.0972216867547395,0.05685813458739223
1-1,regular,18,138570,6423.811756301462,7.636854539807826,0.11191790091095122,0.03886632979187141,0.8037920725677197
1-1,regular,19,303016,14100.418807389065,9.728730486916525,0.015605685882704279,0.005419470247464108,0.8365951993164766
1-1,regular,20,527747,26196.459213393216,7.763688372738159,0.08414495939848265,0.02922147141507946,0.7908552758871519
1-1,regular,21,412424,20557.006776711558,9.706555293763392,0.019260670624477783,0.006688756404564708,0.8670549788416847
1-1,regular,22,244211,11301.070008282995,7.65271794197345,0.02852365951895841,0.009905564245857043,0.8263984199779064
1-1,regular,23,110909,5132.736451854474,13.088455026239313,0.19422416982892088,0.06744926930080251,0.8062745423372601
1-1,regular,24,55458,2556.3835785108254,7.635842381216,0.044101428176512414,0.015315339528791501,0.7853474123321601
1-1,regular,25,31182,1431.7501752026176,9.772355076892108,0.031230389311089013,0.010845544820029316,0.7820192001455936
1-2,regular,55,20723,950.3386345212778,9.758930593218995,1.9482887755997842,0.6766543137264387,0.26217601822842496
1-2,regular,56,34506,1608.0976011022399,7.624603950635523,0.14460332691897193,0.05022174647020414,0.7485744759404357
1-2,regular,57,62657,2896.3942128107687,9.748917287502907,0.011417974347420312,0.0039655423225549834,0.8619147940074906
1-2,regular,58,125160,5832.756948263485,7.615803382646175,1.2321442727321532,0.4279323207725559,0.5391693079142816
1-2,regular,59,286178,13612.458646922041,9.704906303747368,0.1167874944187286,0.04056111336134304,0.8118196403618234
1-2,regular,60,511864,26898.66091216696,7.725340330073841,0.2196748134919453,0.07629459863854902,0.80734334144918
1-2,regular,61,433826,21279.8245803244,9.66511413519606,0.14474220077279654,0.05026997833060959,0.7389276375854766
1-2,regular,62,258918,12385.477492135185,7.62007958748012,0.1908540969701562,0.06628496228310074,0.8392510726494916
1-2,regular,63,119760,5709.29953919255,9.738147151445117,0.030246265389839877,0.010504739444412832,0.8287797876879711
1-2,regular,64,60316,2819.689147595138,7.601998162551922,0.10889803043523472,0.037821047358664844,0.8283665695720367
1-3,regular,125,30563,1431.2891376140117,9.732769019282069,0.00638557943973872,0.002217502409526484,0.813551901935986
1-3,regular,126,54843,2557.2685278152076,7.591428399307912,0.09780400178733295,0.03396412364319713,0.7527472527472527
1-3,regular,127,105190,4944.570891134751,13.0405818084485,0.02320232537957878,0.008057406993583448,0.7986807424658681
1-3,regular,128,239279,11246.63180084775,7.627880550117764,0.050859269957173936,0.01766175720482553,0.8206203576524557
1-3,regular,129,440233,20198.023108942103,9.649661091901788,0.026885771713518025,0.00933654715587481,0.8373656540060803
1-3,regular,130,506127,28026.511581490293,7.695060655605661,0.019459104593542165,0.0067575091235844405,0.8323530801503083
1-3,regular,131,286452,13463.39687586919,9.715863208483544,0.02013284177670016,0.006991475961071874,0.8459861356531195
1-3,regular,132,136783,6428.932796371671,7.60036290802105,0.010761743451839223,0.0037372007130077756,0.8600082093608902
1-3,regular,133,67258,3161.379966711346,9.735690682877994,0.09875155983882777,0.03429317949195531,0.8306534757716015
1-3,regular,134,36236,1689.4660808501528,11.978870745569807,0.02076229094686255,0.0072100630234805205,0.6944367561583172
1-4,regular,197,83622,4027.2130271819237,9.718060368650299,0.0765396478393896,0.026580804823476998,0.8585027835242276
