panel_idx,ring_key,tunnel_id,ring_id,family,segment_count,segmentation_ontology
1,1-1/r18,1-1,18,1,7,k_bearing
2,1-1/r19,1-1,19,1,7,k_bearing
3,1-2/r58,1-2,58,1,7,k_bearing
4,1-2/r59,1-2,59,1,7,k_bearing
5,1-3/r125,1-3,125,1,7,k_bearing
6,1-3/r131,1-3,131,1,7,k_bearing
7,1-4/r197,1-4,197,1,7,k_bearing
8,1-4/r204,1-4,204,1,7,k_bearing
9,1-5/r270,1-5,270,1,7,k_bearing
10,1-5/r273,1-5,273,1,7,k_bearing
11,2-1/r60,2-1,60,2,7,k_bearing
12,2-1/r64,2-1,64,2,7,k_bearing
13,2-2/r141,2-2,141,2,7,k_bearing
14,2-2/r143,2-2,143,2,7,k_bearing
15,2-3/r220,2-3,220,2,7,k_bearing
16,2-3/r224,2-3,224,2,7,k_bearing
17,2-4/r298,2-4,298,2,7,k_bearing
18,2-4/r304,2-4,304,2,7,k_bearing
19,2-5/r353,2-5,353,2,7,k_bearing
20,2-5/r360,2-5,360,2,7,k_bearing
21,3-1-1/r28,3-1-1,28,3,7,k_bearing
22,3-1-1/r31,3-1-1,31,3,7,k_bearing
23,3-1-1/r32,3-1-1,32,3,7,k_bearing
24,3-1-1/r36,3-1-1,36,3,7,k_bearing
25,3-1-2/r46,3-1-2,46,3,7,k_bearing
26,3-1-2/r47,3-1-2,47,3,7,k_bearing
27,3-1-2/r48,3-1-2,48,3,7,k_bearing
28,3-1-3/r77,3-1-3,77,3,7,k_bearing
29,3-1-3/r78,3-1-3,78,3,7,k_bearing
30,3-1-3/r86,3-1-3,86,3,7,k_bearing
31,4-1/r110,4-1,110,4,7,k_bearing
32,4-10/r398,4-10,398,4,7,k_bearing
33,4-2/r142,4-2,142,4,7,k_bearing
34,4-3/r177,4-3,177,4,7,k_bearing
35,4-4/r212,4-4,212,4,7,k_bearing
36,4-5/r249,4-5,249,4,7,k_bearing
37,4-6/r276,4-6,276,4,7,k_bearing
38,4-7/r308,4-7,308,4,7,k_bearing
39,4-8/r332,4-8,332,4,7,k_bearing
40,4-9/r363,4-9,363,4,7,k_bearing
41,5-1/r118,5-1,118,5,7,k_bearing
42,5-2/r140,5-2,140,5,7,k_bearing
43,5-3/r192,5-3,192,5,7,k_bearing
44,5-3/r195,5-3,195,5,7,k_bearing
45,5-4/r227,5-4,227,5,7,k_bearing
46,5-5/r254,5-5,254,5,7,k_bearing
47,5-5/r259,5-5,259,5,7,k_bearing
48,5-6/r285,5-6,285,5,7,k_bearing
49,5-7/r317,5-7,317,5,7,k_bearing
50,5-7/r322,5-7,322,5,7,k_bearing
